        Frequency / GHz                S1,1 (T=0.9)/abs,dB
                 12.3232                      -15.292081
                 12.3496                      -15.137197
                  12.376                       -14.96081
                 12.4024                      -14.766197
                 12.4288                      -14.556521
                 12.4552                      -14.334736
                 12.4816                      -14.103545
                  12.508                      -13.865361
                 12.5344                      -13.622308
                 12.5608                      -13.376227
                 12.5872                      -13.128694
                 12.6136                      -12.881042
                   12.64                      -12.634393
                 12.6664                      -12.389676
                 12.6928                      -12.147659
                 12.7192                      -11.908967
                 12.7456                       -11.67411
                  12.772                      -11.443493
                 12.7984                      -11.217438
                 12.8248                      -10.996191
                 12.8512                      -10.779944
                 12.8776                      -10.568827
                  12.904                      -10.362938
                 12.9304                      -10.162329
                 12.9568                      -9.9670255
                 12.9832                      -9.7770238
                 13.0096                       -9.592295
                  13.036                      -9.4127945
                 13.0624                      -9.2384548
                 13.0888                      -9.0691957
                 13.1152                      -8.9049237
                 13.1416                      -8.7455279
                  13.168                      -8.5908941
                 13.1944                      -8.4408942
                 13.2208                      -8.2953913
                 13.2472                      -8.1542442
                 13.2736                      -8.0173076
                    13.3                      -7.8844251
                 13.3264                      -7.7554452
                 13.3528                        -7.63021
                 13.3792                      -7.5085605
                 13.4056                      -7.3903425
                  13.432                      -7.2754019
                 13.4584                      -7.1635867
                 13.4848                      -7.0547508
                 13.5112                      -6.9487559
                 13.5376                      -6.8454682
                  13.564                      -6.7447636
                 13.5904                      -6.6465269
                 13.6168                      -6.5506543
                 13.6432                      -6.4570516
                 13.6696                       -6.365637
                  13.696                       -6.276339
                 13.7224                      -6.1890994
                 13.7488                      -6.1038715
                 13.7752                      -6.0206203
                 13.8016                      -5.9393222
                  13.828                      -5.8599609
                 13.8544                      -5.7825348
                 13.8808                      -5.7070469
                 13.9072                       -5.633506
                 13.9336                      -5.5619314
                   13.96                      -5.4923407
                 13.9864                      -5.4247611
                 14.0128                      -5.3592141
                 14.0392                      -5.2957262
                 14.0656                      -5.2343162
                  14.092                      -5.1750056
                 14.1184                      -5.1178049
                 14.1448                      -5.0627214
                 14.1712                      -5.0097539
                 14.1976                       -4.958894
                  14.224                      -4.9101189
                 14.2504                      -4.8634005
                 14.2768                      -4.8186972
                 14.3032                      -4.7759574
                 14.3296                      -4.7351181
                  14.356                      -4.6961028
                 14.3824                      -4.6588284
                 14.4088                      -4.6231984
                 14.4352                        -4.58911
                 14.4616                      -4.5564511
                  14.488                      -4.5251027
                 14.5144                      -4.4949434
                 14.5408                      -4.4658467
                 14.5672                      -4.4376852
                 14.5936                      -4.4103325
                   14.62                      -4.3836655
                 14.6464                      -4.3575689
                 14.6728                      -4.3319283
                 14.6992                      -4.3066485
                 14.7256                      -4.2816351
                  14.752                      -4.2568167
                 14.7784                      -4.2321291
                 14.8048                      -4.2075281
                 14.8312                      -4.1829893
                 14.8576                      -4.1585016
                  14.884                      -4.1340736
                 14.9104                      -4.1097329
                 14.9368                      -4.0855264
                 14.9632                      -4.0615165
                 14.9896                      -4.0377829
                  15.016                      -4.0144206
                 15.0424                      -3.9915391
                 15.0688                      -3.9692569
                 15.0952                      -3.9477036
                 15.1216                      -3.9270176
                  15.148                      -3.9073433
                 15.1744                      -3.8888264
                 15.2008                      -3.8716158
                 15.2272                      -3.8558588
                 15.2536                      -3.8417003
                   15.28                      -3.8292826
                 15.3064                      -3.8187366
                 15.3328                      -3.8101917
                 15.3592                      -3.8037639
                 15.3856                      -3.7995626
                  15.412                      -3.7976824
                 15.4384                      -3.7982082
                 15.4648                      -3.8012135
                 15.4912                      -3.8067585
                 15.5176                      -3.8148898
                  15.544                      -3.8256444
                 15.5704                      -3.8390426
                 15.5968                      -3.8550987
                 15.6232                      -3.8738108
