        Frequency / GHz                S1,1 (Lf=9.75)/abs,dB
                 14.9368                      -4.6139324
                 14.9632                      -4.5532449
                 14.9896                      -4.4924335
                  15.016                      -4.4317231
                 15.0424                      -4.3713307
                 15.0688                      -4.3114609
                 15.0952                      -4.2523086
                 15.1216                      -4.1940631
                  15.148                      -4.1369027
                 15.1744                       -4.081001
                 15.2008                      -4.0265254
                 15.2272                      -3.9736392
                 15.2536                       -3.922502
                   15.28                      -3.8732707
                 15.3064                      -3.8261001
                 15.3328                      -3.7811479
                 15.3592                      -3.7385647
                 15.3856                       -3.698507
                  15.412                      -3.6611262
                 15.4384                      -3.6265765
                 15.4648                      -3.5950111
                 15.4912                       -3.566582
                 15.5176                      -3.5414378
                  15.544                      -3.5197284
                 15.5704                       -3.501598
                 15.5968                      -3.4871901
                 15.6232                      -3.4766404
                 15.6496                      -3.4700808
                  15.676                      -3.4676377
                 15.7024                      -3.4694285
                 15.7288                      -3.4755623
                 15.7552                      -3.4861413
                 15.7816                      -3.5012569
                  15.808                      -3.5209889
                 15.8344                      -3.5454049
                 15.8608                       -3.574565
                 15.8872                      -3.6085113
                 15.9136                      -3.6472765
                   15.94                      -3.6908779
                 15.9664                      -3.7393238
                 15.9928                      -3.7926007
               16.019199                      -3.8506888
               16.045601                      -3.9135516
               16.072001                       -3.981139
                 16.0984                      -4.0533896
                 16.1248                      -4.1302283
               16.151199                      -4.2115683
               16.177601                      -4.2973124
                  16.204                      -4.3873532
                 16.2304                      -4.4815735
                 16.2568                      -4.5798501
               16.283199                      -4.6820524
               16.309601                      -4.7880469
                  16.336                      -4.8976948
                 16.3624                      -5.0108548
                 16.3888                      -5.1273905
               16.415199                      -5.2471678
               16.441601                      -5.3700527
                  16.468                      -5.4959195
                 16.4944                      -5.6246535
                 16.5208                      -5.7561457
               16.547199                      -5.8903023
               16.573601                       -6.027039
                    16.6                      -6.1662888
                 16.6264                      -6.3080001
                 16.6528                      -6.4521358
               16.679199                      -6.5986763
               16.705601                      -6.7476184
                  16.732                      -6.8989741
                 16.7584                      -7.0527743
                 16.7848                      -7.2090619
               16.811199                      -7.3678956
               16.837601                      -7.5293453
                  16.864                       -7.693491
                 16.8904                      -7.8604243
                 16.9168                      -8.0302404
               16.943199                      -8.2030391
               16.969601                      -8.3789226
                  16.996                      -8.5579941
                 17.0224                      -8.7403518
                 17.0488                      -8.9260901
               17.075199                      -9.1152938
               17.101601                      -9.3080425
                  17.128                      -9.5044001
                 17.1544                        -9.70442
               17.180799                      -9.9081409
               17.207199                      -10.115584
               17.233601                      -10.326754
                   17.26                      -10.541637
                 17.2864                      -10.760201
               17.312799                      -10.982395
               17.339199                      -11.208147
               17.365601                      -11.437367
                  17.392                      -11.669938
                 17.4184                      -11.905728
               17.444799                      -12.144577
               17.471201                      -12.386299
               17.497601                      -12.630683
                  17.524                       -12.87748
                 17.5504                      -13.126408
               17.576799                      -13.377133
               17.603201                       -13.62927
               17.629601                      -13.882359
                  17.656                      -14.135856
                 17.6824                      -14.389113
               17.708799                      -14.641354
               17.735201                      -14.891646
                 17.7616                      -15.138872
                  17.788                      -15.381699
                 17.8144                      -15.618547
               17.840799                      -15.847556
               17.867201                      -16.066569
                 17.8936                      -16.273123
                   17.92                      -16.464457
                 17.9464                      -16.637545
               17.972799                      -16.789173
               17.999201                      -16.916043
                 18.0256                      -17.014924
                  18.052                      -17.082828
                 18.0784                      -17.117211
               18.104799                      -17.116176
               18.131201                      -17.078625
                 18.1576                      -17.004388
                  18.184                      -16.894248
                 18.2104                       -16.74991
               18.236799                      -16.573874
               18.263201                      -16.369271
                 18.2896                      -16.139658
                  18.316                      -15.888816
                 18.3424                      -15.620563
               18.368799                      -15.338608
               18.395201                      -15.046426
                 18.4216                      -14.747201
                  18.448                       -14.44377
                 18.4744                      -14.138618
               18.500799                      -13.833887
               18.527201                      -13.531391
