        Frequency / GHz                S1,1 (S=0.9)/abs,dB
                 11.0296                      -4.8569343
                  11.056                      -4.9556387
                 11.0824                      -5.0624348
                 11.1088                       -5.178279
                 11.1352                      -5.3039969
                 11.1616                      -5.4402449
                  11.188                      -5.5874758
                 11.2144                       -5.745919
                 11.2408                      -5.9155657
                 11.2672                      -6.0961615
                 11.2936                      -6.2872172
                   11.32                      -6.4880172
                 11.3464                      -6.6976426
                 11.3728                      -6.9150025
                 11.3992                      -7.1388695
                 11.4256                      -7.3679219
                  11.452                      -7.6007896
                 11.4784                      -7.8360969
                 11.5048                      -8.0725089
                 11.5312                       -8.308762
                 11.5576                      -8.5436883
                  11.584                      -8.7762306
                 11.6104                      -9.0054327
                 11.6368                      -9.2304247
                 11.6632                       -9.450385
                 11.6896                      -9.6645014
                  11.716                       -9.871926
                 11.7424                      -10.071722
                 11.7688                      -10.262835
                 11.7952                      -10.444056
                 11.8216                      -10.614028
                  11.848                      -10.771248
                 11.8744                      -10.914108
                 11.9008                      -11.040957
                 11.9272                      -11.150172
                 11.9536                      -11.240241
                   11.98                      -11.309862
                 12.0064                       -11.35802
                 12.0328                      -11.384055
                 12.0592                      -11.387706
                 12.0856                      -11.369139
                  12.112                      -11.328931
                 12.1384                      -11.268049
                 12.1648                      -11.187797
                 12.1912                       -11.08976
                 12.2176                      -10.975743
                  12.244                      -10.847701
                 12.2704                      -10.707684
                 12.2968                      -10.557783
                 12.3232                       -10.40008
                 12.3496                      -10.236614
                  12.376                      -10.069344
                 12.4024                      -9.9001226
                 12.4288                      -9.7306777
                 12.4552                      -9.5625946
                 12.4816                       -9.397306
                  12.508                      -9.2360819
                 12.5344                        -9.08004
                 12.5608                      -8.9301352
                 12.5872                      -8.7871765
                 12.6136                      -8.6518325
                   12.64                      -8.5246486
                 12.6664                      -8.4060536
                 12.6928                      -8.2963911
                 12.7192                      -8.1959178
                 12.7456                      -8.1048328
                  12.772                        -8.02328
                 12.7984                      -7.9513648
                 12.8248                      -7.8891577
                 12.8512                      -7.8366947
                 12.8776                      -7.7939788
                  12.904                      -7.7609667
                 12.9304                      -7.7375619
                 12.9568                      -7.7235956
                 12.9832                      -7.7188095
                 13.0096                      -7.7228345
                  13.036                      -7.7351682
                 13.0624                      -7.7551568
                 13.0888                      -7.7819759
                 13.1152                      -7.8146228
                 13.1416                      -7.8519122
                  13.168                      -7.8924868
                 13.1944                      -7.9348416
                 13.2208                      -7.9773538
                 13.2472                      -8.0183457
                 13.2736                      -8.0561457
                    13.3                      -8.0891652
                 13.3264                       -8.115988
                 13.3528                      -8.1354467
                 13.3792                      -8.1466986
                 13.4056                      -8.1492741
                  13.432                      -8.1431056
                 13.4584                      -8.1285257
                 13.4848                      -8.1062332
                 13.5112                      -8.0772326
                 13.5376                       -8.042757
                  13.564                      -8.0041744
                 13.5904                      -7.9628946
                 13.6168                      -7.9202771
                 13.6432                      -7.8775553
                 13.6696                      -7.8357746
                  13.696                      -7.7957391
                 13.7224                      -7.7579918
                 13.7488                      -7.7227999
                 13.7752                      -7.6901595
                 13.8016                        -7.65982
                  13.828                      -7.6313126
                 13.8544                      -7.6039993
                 13.8808                       -7.577117
                 13.9072                      -7.5498401
                 13.9336                      -7.5213333
                   13.96                       -7.490813
                 13.9864                      -7.4575903
                 14.0128                       -7.421118
                 14.0392                      -7.3810168
                 14.0656                      -7.3370923
                  14.092                      -7.2893343
                 14.1184                      -7.2379091
                 14.1448                      -7.1831343
                 14.1712                      -7.1254497
                 14.1976                      -7.0653877
                  14.224                      -7.0035311
                 14.2504                        -6.94049
                 14.2768                      -6.8768709
                 14.3032                      -6.8132545
                 14.3296                      -6.7501898
                  14.356                      -6.6881816
                 14.3824                      -6.6276967
                 14.4088                      -6.5691647
                 14.4352                      -6.5129885
                 14.4616                      -6.4595583
                  14.488                      -6.4092531
                 14.5144                      -6.3624598
                 14.5408                      -6.3195686
                 14.5672                      -6.2809836
                 14.5936                      -6.2471148
                   14.62                      -6.2183748
                 14.6464                       -6.195167
                 14.6728                      -6.1778753
                 14.6992                      -6.1668473
                 14.7256                      -6.1623756
                  14.752                      -6.1646849
                 14.7784                      -6.1739105
                 14.8048                      -6.1900884
                 14.8312                      -6.2131391
                 14.8576                      -6.2428607
                  14.884                      -6.2789269
                 14.9104                      -6.3208795
                 14.9368                      -6.3681439
                 14.9632                      -6.4200327
                 14.9896                      -6.4757663
                  15.016                      -6.5344985
                 15.0424                        -6.59534
                 15.0688                      -6.6573935
                 15.0952                      -6.7197847
                 15.1216                      -6.7817029
                  15.148                      -6.8424293
                 15.1744                      -6.9013642
                 15.2008                      -6.9580522
                 15.2272                       -7.012192
                 15.2536                      -7.0636367
                   15.28                      -7.1123878
                 15.3064                      -7.1585786
                 15.3328                      -7.2024424
                 15.3592                      -7.2442862
                 15.3856                        -7.28445
                  15.412                      -7.3232728
                 15.4384                      -7.3610599
                 15.4648                      -7.3980495
                 15.4912                      -7.4343925
                 15.5176                      -7.4701398
                  15.544                      -7.5052292
                 15.5704                      -7.5394927
                 15.5968                       -7.572668
                 15.6232                      -7.6044116
                 15.6496                      -7.6343275
                  15.676                      -7.6619905
                 15.7024                      -7.6869836
                 15.7288                      -7.7089148
                 15.7552                      -7.7274544
                 15.7816                      -7.7423487
                  15.808                      -7.7534302
                 15.8344                      -7.7606319
                 15.8608                      -7.7639722
                 15.8872                      -7.7635483
                 15.9136                      -7.7595148
                   15.94                      -7.7520628
                 15.9664                      -7.7413901
                 15.9928                      -7.7276815
               16.019199                      -7.7110821
               16.045601                      -7.6916836
               16.072001                       -7.669512
                 16.0984                      -7.6445274
                 16.1248                      -7.6166296
               16.151199                      -7.5856708
               16.177601                       -7.551479
                  16.204                      -7.5138782
                 16.2304                      -7.4727204
                 16.2568                       -7.427914
               16.283199                      -7.3794421
               16.309601                      -7.3273877
                  16.336                      -7.2719471
                 16.3624                      -7.2134264
                 16.3888                       -7.152246
               16.415199                      -7.0889191
               16.441601                      -7.0240336
                  16.468                      -6.9582281
                 16.4944                      -6.8921564
                 16.5208                      -6.8264621
               16.547199                      -6.7617485
               16.573601                      -6.6985482
                    16.6                      -6.6373083
                 16.6264                        -6.57837
                 16.6528                      -6.5219616
               16.679199                      -6.4681953
               16.705601                      -6.4170714
                  16.732                      -6.3684894
                 16.7584                      -6.3222611
                 16.7848                      -6.2781294
               16.811199                      -6.2357931
               16.837601                      -6.1949281
                  16.864                      -6.1552094
                 16.8904                      -6.1163328
                 16.9168                       -6.078034
               16.943199                      -6.0401035
               16.969601                      -6.0023916
                  16.996                      -5.9648121
                 17.0224                      -5.9273414
                 17.0488                      -5.8900081
               17.075199                      -5.8528833
               17.101601                       -5.816065
                  17.128                      -5.7796546
                 17.1544                      -5.7437563
               17.180799                      -5.7084469
               17.207199                      -5.6737698
               17.233601                        -5.63973
                   17.26                       -5.606287
                 17.2864                      -5.5733599
               17.312799                      -5.5408275
               17.339199                      -5.5085432
               17.365601                      -5.4763518
                  17.392                      -5.4440987
                 17.4184                      -5.4116511
               17.444799                      -5.3789153
               17.471201                      -5.3458482
               17.497601                      -5.3124741
                  17.524                       -5.278885
                 17.5504                      -5.2452464
               17.576799                      -5.2117994
               17.603201                      -5.1788482
               17.629601                      -5.1467511
                  17.656                      -5.1159044
                 17.6824                      -5.0867285
               17.708799                      -5.0596486
               17.735201                      -5.0350793
                 17.7616                      -5.0134093
                  17.788                      -4.9949856
                 17.8144                      -4.9801093
               17.840799                      -4.9690209
               17.867201                       -4.961905
                 17.8936                      -4.9588856
                   17.92                      -4.9600315
                 17.9464                      -4.9653628
               17.972799                      -4.9748567
               17.999201                      -4.9884594
                 18.0256                      -5.0060957
                  18.052                      -5.0276763
                 18.0784                      -5.0531094
               18.104799                      -5.0823072
               18.131201                      -5.1151891
                 18.1576                      -5.1516861
                  18.184                      -5.1917403
                 18.2104                      -5.2353011
               18.236799                       -5.282322
               18.263201                      -5.3327524
                 18.2896                      -5.3865324
                  18.316                      -5.4435821
                 18.3424                      -5.5037953
               18.368799                      -5.5670349
               18.395201                      -5.6331267
                 18.4216                      -5.7018575
                  18.448                      -5.7729827
                 18.4744                      -5.8462185
               18.500799                      -5.9212659
               18.527201                      -5.9978059
                 18.5536                      -6.0755264
                   18.58                      -6.1541242
                 18.6064                      -6.2333296
               18.632799                      -6.3129115
               18.659201                      -6.3926926
                 18.6856                      -6.4725572
                  18.712                      -6.5524518
                 18.7384                      -6.6323851
               18.764799                      -6.7124211
               18.791201                      -6.7926665
                 18.8176                      -6.8732544
                  18.844                      -6.9543274
               18.870399                      -7.0360159
               18.896799                      -7.1184178
               18.923201                       -7.201581
                 18.9496                      -7.2854862
                  18.976                      -7.3700365
               19.002399                      -7.4550541
               19.028799                      -7.5402762
               19.055201                      -7.6253732
                 19.0816                      -7.7099521
                  19.108                      -7.7935869
               19.134399                      -7.8758429
               19.160801                      -7.9563018
               19.187201                      -8.0345983
                 19.2136                      -8.1104471
                   19.24                      -8.1836645
               19.266399                      -8.2541903
               19.292801                      -8.3220966
               19.319201                      -8.3875863
                 19.3456                      -8.4509812
                  19.372                      -8.5127067
               19.398399                      -8.5732616
               19.424801                      -8.6331831
                 19.4512                      -8.6930135
                 19.4776                      -8.7532624
                  19.504                      -8.8143704
               19.530399                      -8.8766833
               19.556801                      -8.9404257
                 19.5832                      -9.0056838
                 19.6096                      -9.0724082
                  19.636                      -9.1404054
               19.662399                       -9.209361
               19.688801                      -9.2788549
                 19.7152                      -9.3483958
                 19.7416                      -9.4174538
                  19.768                      -9.4855043
               19.794399                      -9.5520655
               19.820801                       -9.616739
