"# Channel 1"
"# Trace 1"
Frequency; Formatted Data; Formatted Data
+1,41300645000E+010; -1,28089931007E+001; +0,00000000000E+000
+1,42200630000E+010; -1,25678949454E+001; +0,00000000000E+000
+1,43100615000E+010; -9,48955345387E+000; +0,00000000000E+000
+1,44000600000E+010; -1,00639063103E+001; +0,00000000000E+000
+1,44900585000E+010; -9,76663421019E+000; +0,00000000000E+000
+1,45800570000E+010; -9,67090226871E+000; +0,00000000000E+000
+1,46700555000E+010; -1,06902640252E+001; +0,00000000000E+000
+1,47600540000E+010; -9,58926968574E+000; +0,00000000000E+000
+1,48500525000E+010; -9,76138855902E+000; +0,00000000000E+000
+1,49400510000E+010; -8,40935507832E+000; +0,00000000000E+000
+1,50300495000E+010; -9,23048271927E+000; +0,00000000000E+000
+1,51200480000E+010; -1,00413391603E+001; +0,00000000000E+000
+1,52100465000E+010; -1,05234539020E+001; +0,00000000000E+000
+1,53000450000E+010; -1,28808237804E+001; +0,00000000000E+000
+1,53900435000E+010; -1,09903309199E+001; +0,00000000000E+000
+1,54800420000E+010; -8,71048073477E+000; +0,00000000000E+000
+1,55700405000E+010; -1,20008255745E+001; +0,00000000000E+000
+1,56600390000E+010; -1,01525938623E+001; +0,00000000000E+000
+1,57500375000E+010; -9,72267846053E+000; +0,00000000000E+000
+1,58400360000E+010; -9,59348019509E+000; +0,00000000000E+000
+1,59300345000E+010; -1,04028926715E+001; +0,00000000000E+000
+1,60200330000E+010; -1,04097620896E+001; +0,00000000000E+000
+1,61100315000E+010; -1,21632197496E+001; +0,00000000000E+000
+1,62000300000E+010; -1,07586473278E+001; +0,00000000000E+000
+1,62900285000E+010; -1,20136653904E+001; +0,00000000000E+000
+1,63800270000E+010; -1,55281332816E+001; +0,00000000000E+000
+1,64700255000E+010; -2,04082785973E+001; +0,00000000000E+000
+1,65600240000E+010; -1,84166134949E+001; +0,00000000000E+000
+1,66500225000E+010; -1,89853517589E+001; +0,00000000000E+000
+1,67400210000E+010; -1,76755517889E+001; +0,00000000000E+000
+1,68300195000E+010; -1,77584682425E+001; +0,00000000000E+000
+1,69200180000E+010; -2,01378929358E+001; +0,00000000000E+000
+1,70100165000E+010; -3,75892406193E+001; +0,00000000000E+000
+1,71000150000E+010; -2,37780196709E+001; +0,00000000000E+000
+1,71900135000E+010; -2,03980310891E+001; +0,00000000000E+000
+1,72800120000E+010; -1,71446549042E+001; +0,00000000000E+000
+1,73700105000E+010; -1,79552926464E+001; +0,00000000000E+000
+1,74600090000E+010; -3,30695918405E+001; +0,00000000000E+000
+1,75500075000E+010; -2,42761668063E+001; +0,00000000000E+000
+1,76400060000E+010; -1,92162343933E+001; +0,00000000000E+000
+1,77300045000E+010; -1,36247961819E+001; +0,00000000000E+000
+1,78200030000E+010; -1,79372370776E+001; +0,00000000000E+000
+1,79100015000E+010; -1,71936539754E+001; +0,00000000000E+000
+1,80000000000E+010; -1,57493190755E+001; +0,00000000000E+000
