        Frequency / GHz                S1;1/abs;dB
----------------------------------------------------------------------
                  5,9533                      -15,225894
                  5,9712                      -15,186475
                  5,9891                      -15,149906
                   6,007                      -15,116239
                  6,0249                      -15,085481
               6,0427999                      -15,057601
               6,0606999                      -15,032529
               6,0785999                      -15,010159
               6,0964999                      -14,990353
               6,1143999                      -14,972941
               6,1322999                      -14,957721
               6,1501999                      -14,944462
               6,1680999                      -14,932912
               6,1859999                      -14,922789
               6,2038999                      -14,913789
               6,2217999                      -14,905589
               6,2396998                      -14,897846
               6,2575998                      -14,890204
               6,2754998                       -14,88229
               6,2933998                      -14,873723
               6,3112998                      -14,864119
               6,3291998                      -14,853087
               6,3470998                       -14,84024
               6,3649998                      -14,825197
               6,3829002                      -14,807592
               6,4008002                      -14,787068
               6,4187002                      -14,763293
               6,4366002                      -14,735963
               6,4545002                        -14,7048
               6,4724002                      -14,669561
               6,4903002                      -14,630046
               6,5082002                      -14,586093
               6,5261002                      -14,537585
               6,5440001                      -14,484452
               6,5619001                      -14,426672
               6,5798001                       -14,36427
               6,5977001                      -14,297315
               6,6156001                      -14,225926
               6,6335001                      -14,150259
               6,6514001                      -14,070516
               6,6693001                      -13,986928
               6,6872001                      -13,899762
               6,7051001                      -13,809311
                   6,723                      -13,715891
                  6,7409                      -13,619836
                  6,7588                      -13,521494
                  6,7767                      -13,421222
                  6,7946                      -13,319381
                  6,8125                      -13,216337
                  6,8304                      -13,112451
                  6,8483                      -13,008081
                  6,8662                      -12,903575
                  6,8841                      -12,799275
                   6,902                       -12,69551
               6,9198999                      -12,592597
               6,9377999                      -12,490841
               6,9556999                       -12,39053
               6,9735999                      -12,291941
               6,9914999                      -12,195333
               7,0093999                      -12,100951
               7,0272999                      -12,009031
               7,0451999                      -11,919789
               7,0630999                      -11,833428
               7,0809999                      -11,750141
               7,0988998                      -11,670107
               7,1167998                      -11,593494
               7,1346998                      -11,520458
               7,1525998                      -11,451147
               7,1704998                      -11,385698
               7,1883998                      -11,324237
               7,2062998                      -11,266888
               7,2241998                       -11,21376
               7,2420998                      -11,164961
               7,2600002                      -11,120588
               7,2779002                      -11,080739
               7,2958002                      -11,045499
               7,3137002                      -11,014951
               7,3316002                      -10,989178
               7,3495002                      -10,968253
               7,3674002                       -10,95225
               7,3853002                      -10,941235
               7,4032001                      -10,935276
               7,4211001                      -10,934436
               7,4390001                      -10,938774
               7,4569001                      -10,948351
               7,4748001                      -10,963222
               7,4927001                      -10,983439
               7,5106001                      -11,009056
               7,5285001                      -11,040121
               7,5464001                      -11,076683
               7,5643001                      -11,118786
               7,5822001                       -11,16647
                  7,6001                      -11,219777
                   7,618                      -11,278739
                  7,6359                      -11,343392
                  7,6538                      -11,413758
                  7,6717                      -11,489862
                  7,6896                      -11,571717
                  7,7075                      -11,659334
                  7,7254                       -11,75271
                  7,7433                      -11,851839
                  7,7612                      -11,956696
               7,7790999                      -12,067248
               7,7969999                      -12,183445
               7,8148999                       -12,30522
               7,8327999                      -12,432483
               7,8506999                      -12,565123
               7,8685999                      -12,702998
               7,8864999                      -12,845939
               7,9043999                      -12,993735
               7,9222999                       -13,14614
               7,9401999                      -13,302855
               7,9580998                      -13,463532
               7,9759998                      -13,627763
               7,9938998                      -13,795072
               8,0117998                       -13,96491
               8,0297003                      -14,136648
               8,0475998                       -14,30957
               8,0655003                      -14,482867
               8,0833998                      -14,655629
               8,1013002                      -14,826847
               8,1191998                       -14,99541
               8,1371002                      -15,160109
               8,1549997                      -15,319644
