        Frequency / GHz                S1,1/abs,dB
               4,9425001                      -19,012901
               4,9573998                      -18,994346
               4,9723001                      -18,977026
               4,9871998                      -18,959576
                  5,0021                      -18,940724
               5,0170002                      -18,919275
               5,0318999                      -18,894115
               5,0468001                      -18,864203
               5,0616999                      -18,828568
               5,0766001                      -18,786311
               5,0914998                      -18,736598
                  5,1064                      -18,678677
               5,1213002                      -18,611887
                  5,1362                      -18,535667
               5,1511002                       -18,44958
               5,1659999                      -18,353337
               5,1809001                      -18,246813
               5,1957998                      -18,130069
                  5,2107                      -18,003365
               5,2255998                      -17,867165
                  5,2405                      -17,722142
               5,2554002                      -17,569162
               5,2702999                      -17,409271
               5,2852001                      -17,243665
               5,3000998                      -17,073658
               5,3150001                      -16,900651
               5,3298998                      -16,726098
                  5,3448                       -16,55146
               5,3597002                      -16,378183
               5,3745999                      -16,207667
               5,3895001                      -16,041238
               5,4043999                      -15,880132
               5,4193001                      -15,725482
               5,4341998                      -15,578306
                  5,4491                      -15,439498
               5,4640002                      -15,309835
                  5,4789                      -15,189964
               5,4938002                      -15,080419
               5,5086999                      -14,981609
               5,5236001                      -14,893836
               5,5384998                      -14,817294
                  5,5534                      -14,752076
               5,5682998                       -14,69818
                  5,5832                      -14,655517
               5,5981002                       -14,62392
               5,6129999                      -14,603147
               5,6279001                      -14,592893
               5,6427999                      -14,592795
               5,6577001                       -14,60244
               5,6725998                      -14,621378
                  5,6875                      -14,649126
               5,7024002                       -14,68518
               5,7172999                       -14,72902
               5,7322001                      -14,780125
               5,7470999                      -14,837975
               5,7620001                      -14,902061
               5,7768998                      -14,971887
                  5,7918                      -15,046977
               5,8067002                      -15,126876
                  5,8216                      -15,211143
               5,8365002                      -15,299355
               5,8513999                      -15,391093
               5,8663001                      -15,485932
               5,8811998                      -15,583429
                  5,8961                      -15,683108
               5,9109998                      -15,784437
                  5,9259                      -15,886813
               5,9408002                       -15,98954
               5,9556999                      -16,091813
               5,9706001                      -16,192703
               5,9854999                      -16,291147
               6,0004001                      -16,385941
               6,0152998                      -16,475755
                  6,0302                      -16,559142
               6,0451002                       -16,63457
               6,0599999                      -16,700467
               6,0749002                      -16,755269
               6,0897999                      -16,797495
               6,1047001                      -16,825803
               6,1195998                      -16,839075
                  6,1345                      -16,836471
               6,1494002                      -16,817491
                  6,1643                      -16,781998
               6,1792002                       -16,73024
               6,1940999                      -16,662828
               6,2090001                      -16,580704
               6,2238998                      -16,485085
                  6,2388                      -16,377398
               6,2536998                      -16,259201
                  6,2686                      -16,132117
               6,2835002                      -15,997757
               6,2983999                      -15,857679
               6,3133001                      -15,713323
               6,3281999                      -15,565992
               6,3431001                      -15,416832
               6,3579998                      -15,266819
                  6,3729                      -15,116763
               6,3878002                      -14,967311
               6,4026999                      -14,818975
               6,4176002                      -14,672135
               6,4324999                      -14,527073
               6,4474001                      -14,383988
               6,4622998                      -14,243021
                  6,4772                      -14,104273
               6,4920998                      -13,967834
                   6,507                      -13,833788
               6,5219002                      -13,702234
               6,5367999                      -13,573294
               6,5517001                      -13,447126
