"# Channel 1"
"# Trace 1"
Frequency; Formatted Data; Formatted Data
+1,28700855000E+010; -2,00395023295E+001; +0,00000000000E+000
+1,29600840000E+010; -1,73379281084E+001; +0,00000000000E+000
+1,30500825000E+010; -1,62046469623E+001; +0,00000000000E+000
+1,31400810000E+010; -1,64688710847E+001; +0,00000000000E+000
+1,32300795000E+010; -1,67043671855E+001; +0,00000000000E+000
+1,33200780000E+010; -1,69096492447E+001; +0,00000000000E+000
+1,34100765000E+010; -1,62006781673E+001; +0,00000000000E+000
+1,35000750000E+010; -1,56533531927E+001; +0,00000000000E+000
+1,35900735000E+010; -1,33735774803E+001; +0,00000000000E+000
+1,36800720000E+010; -1,33965372624E+001; +0,00000000000E+000
+1,37700705000E+010; -1,38435097264E+001; +0,00000000000E+000
+1,38600690000E+010; -1,41011153936E+001; +0,00000000000E+000
+1,39500675000E+010; -1,31350030875E+001; +0,00000000000E+000
+1,40400660000E+010; -1,25038715464E+001; +0,00000000000E+000
+1,41300645000E+010; -1,15719388328E+001; +0,00000000000E+000
+1,42200630000E+010; -1,11173334579E+001; +0,00000000000E+000
+1,43100615000E+010; -9,27502045249E+000; +0,00000000000E+000
+1,44000600000E+010; -9,97755732690E+000; +0,00000000000E+000
+1,44900585000E+010; -9,91359860123E+000; +0,00000000000E+000
+1,45800570000E+010; -9,86944732695E+000; +0,00000000000E+000
+1,46700555000E+010; -1,05015417829E+001; +0,00000000000E+000
+1,47600540000E+010; -9,54505660973E+000; +0,00000000000E+000
+1,48500525000E+010; -9,34307320004E+000; +0,00000000000E+000
+1,49400510000E+010; -8,15345684609E+000; +0,00000000000E+000
+1,50300495000E+010; -8,19174506869E+000; +0,00000000000E+000
+1,51200480000E+010; -8,31472897497E+000; +0,00000000000E+000
+1,52100465000E+010; -8,39631862438E+000; +0,00000000000E+000
+1,53000450000E+010; -9,29197230680E+000; +0,00000000000E+000
+1,53900435000E+010; -8,81151784418E+000; +0,00000000000E+000
+1,54800420000E+010; -8,71712832038E+000; +0,00000000000E+000
+1,55700405000E+010; -9,86281018088E+000; +0,00000000000E+000
+1,56600390000E+010; -9,02451697887E+000; +0,00000000000E+000
+1,57500375000E+010; -9,15120475154E+000; +0,00000000000E+000
+1,58400360000E+010; -9,29213117594E+000; +0,00000000000E+000
+1,59300345000E+010; -1,01964535328E+001; +0,00000000000E+000
+1,60200330000E+010; -1,07428180290E+001; +0,00000000000E+000
+1,61100315000E+010; -1,24219098603E+001; +0,00000000000E+000
+1,62000300000E+010; -1,13941388629E+001; +0,00000000000E+000
+1,62900285000E+010; -1,20573922310E+001; +0,00000000000E+000
+1,63800270000E+010; -1,21988768032E+001; +0,00000000000E+000
+1,64700255000E+010; -1,40310910968E+001; +0,00000000000E+000
+1,65600240000E+010; -1,43489745435E+001; +0,00000000000E+000
+1,66500225000E+010; -1,75494339883E+001; +0,00000000000E+000
+1,67400210000E+010; -1,69117838824E+001; +0,00000000000E+000
+1,68300195000E+010; -1,57703234517E+001; +0,00000000000E+000
+1,69200180000E+010; -1,60162902911E+001; +0,00000000000E+000
+1,70100165000E+010; -1,55946501146E+001; +0,00000000000E+000
+1,71000150000E+010; -1,70344311639E+001; +0,00000000000E+000
+1,71900135000E+010; -1,96927865096E+001; +0,00000000000E+000
+1,72800120000E+010; -2,28173605763E+001; +0,00000000000E+000
+1,73700105000E+010; -2,14135806749E+001; +0,00000000000E+000
+1,74600090000E+010; -1,58631321643E+001; +0,00000000000E+000
+1,75500075000E+010; -1,53084811412E+001; +0,00000000000E+000
+1,76400060000E+010; -1,60294840851E+001; +0,00000000000E+000
+1,77300045000E+010; -1,65048629823E+001; +0,00000000000E+000
+1,78200030000E+010; -1,90020970915E+001; +0,00000000000E+000
+1,79100015000E+010; -2,09866571888E+001; +0,00000000000E+000
+1,80000000000E+010; -1,55193851624E+001; +0,00000000000E+000
