freq	dB(S11_fitted)
1.38392857089062504E9	-1.74143483944597621E0
1.39285714231249980E9	-1.80148221309020284E0
1.40178571373437477E9	-1.86240624890121342E0
1.41071428515624997E9	-1.92411905794783733E0
1.41964285657812517E9	-1.98652556168739114E0
1.42857142799999992E9	-2.04952375336704051E0
1.43749999943749995E9	-2.11300504883561535E0
1.44642857087499976E9	-2.17685472804206803E0
1.45535714231249980E9	-2.24095246859039987E0
1.46428571374999983E9	-2.30517296877220890E0
1.47321428518750008E9	-2.36938665729381226E0
1.48214285662500012E9	-2.43346048430957884E0
1.49107142806250015E9	-2.49725878650374788E0
1.49999999950000018E9	-2.56064421701043710E0
1.50892857093749955E9	-2.62347872909668034E0
1.51785714237500047E9	-2.68562460082463472E0
1.52678571381249983E9	-2.74694548642247582E0
1.53571428525000053E9	-2.80730747889417698E0
1.54464285668749990E9	-2.86658016754357359E0
1.55357142812499993E9	-2.92463767362763249E0
1.56249999956249996E9	-2.98135964732284586E0
1.57142857099999977E9	-3.03663220960859137E0
1.58035714243750025E9	-3.09034882354498031E0
1.58928571387499984E9	-3.14241108073509912E0
1.59821428531250009E9	-3.19272939047815907E0
1.60714285674999990E9	-3.24122356118947152E0
1.61607142818749994E9	-3.28782326601689423E0
1.62499999962499997E9	-3.33246838714206683E0
1.63392857106250000E9	-3.37510923592810208E0
1.64285714250000003E9	-3.41570664877198649E0
1.65178571393750007E9	-3.45423196114510844E0
1.66071428537499988E9	-3.49066686477377086E0
1.66964285681249969E9	-3.52500315514417739E0
1.67857142824999994E9	-3.55724237844943580E0
1.68749999968749975E9	-3.58739538868037133E0
1.69642857112500001E9	-3.61548182676557017E0
1.70535714256250026E9	-3.64152953447589534E0
1.71428571400000007E9	-3.66557391622707929E0
1.73214285687500014E9	-3.70782804397939891E0
1.74999999974999976E9	-3.74265241418262740E0
1.76785714262499982E9	-3.77053123454747618E0
1.78571428549999989E9	-3.79200237511127236E0
1.80357142837500040E9	-3.80763658165773133E0
1.82142857124999979E9	-3.81801901102347019E0
1.83928571412499986E9	-3.82373353841271335E0
1.85714285700000015E9	-3.82535000878770148E0
1.87499999987500021E9	-3.82341438290982527E0
1.89285714274999961E9	-3.81844156925975886E0
1.91071428562500012E9	-3.81091063259435048E0
1.92857142850000018E9	-3.80126201957887755E0
1.94642857137500025E9	-3.78989643059512593E0
1.96428571425000031E9	-3.77717498309133592E0
1.98214285712499994E9	-3.76342034555050953E0
2.00000000000000000E9	-3.74891856405990209E0
2.01785714284375040E9	-3.73392134943767706E0
2.03571428568749990E9	-3.71864863748071528E0
