        Frequency / GHz                S1,1 (wf=2.88)/abs,dB
                 17.1544                       -5.918721
               17.180799                      -5.8931268
               17.207199                      -5.8684938
               17.233601                       -5.844946
                   17.26                      -5.8226957
                 17.2864                      -5.8020378
               17.312799                      -5.7833165
               17.339199                      -5.7669146
               17.365601                      -5.7532118
                  17.392                      -5.7425708
                 17.4184                      -5.7353046
               17.444799                      -5.7316618
               17.471201                      -5.7318186
               17.497601                      -5.7358616
                  17.524                      -5.7438021
                 17.5504                      -5.7555744
               17.576799                      -5.7710483
               17.603201                      -5.7900547
               17.629601                      -5.8123925
                  17.656                      -5.8378539
                 17.6824                      -5.8662393
               17.708799                      -5.8973719
               17.735201                      -5.9311048
                 17.7616                      -5.9673279
                  17.788                       -6.005962
                 17.8144                      -6.0469589
               17.840799                      -6.0902817
               17.867201                      -6.1358982
                 17.8936                      -6.1837662
                   17.92                      -6.2338177
                 17.9464                      -6.2859505
               17.972799                      -6.3400212
               17.999201                      -6.3958448
                 18.0256                      -6.4531965
                  18.052                      -6.5118273
                 18.0784                      -6.5714694
               18.104799                      -6.6318613
               18.131201                      -6.6927621
                 18.1576                      -6.7539709
                  18.184                      -6.8153419
                 18.2104                      -6.8767953
               18.236799                      -6.9383191
               18.263201                      -6.9999695
                 18.2896                      -7.0618565
                  18.316                      -7.1241322
                 18.3424                      -7.1869648
               18.368799                      -7.2505129
               18.395201                      -7.3149052
                 18.4216                      -7.3802108
                  18.448                      -7.4464212
                 18.4744                      -7.5134388
               18.500799                      -7.5810672
               18.527201                      -7.6490165
                 18.5536                       -7.716918
                   18.58                      -7.7843414
                 18.6064                      -7.8508253
               18.632799                       -7.915912
               18.659201                      -7.9791828
                 18.6856                      -8.0402943
                  18.712                      -8.0990075
                 18.7384                       -8.155216
               18.764799                      -8.2089551
               18.791201                       -8.260405
                 18.8176                      -8.3098816
                  18.844                      -8.3578129
               18.870399                        -8.40471
               18.896799                      -8.4511286
               18.923201                      -8.4976295
                 18.9496                      -8.5447389
                  18.976                      -8.5929147
               19.002399                      -8.6425125
               19.028799                      -8.6937709
               19.055201                      -8.7467921
                 19.0816                       -8.801552
                  19.108                      -8.8578944
               19.134399                      -8.9155587
               19.160801                      -8.9741982
               19.187201                      -9.0334092
                 19.2136                      -9.0927637
                   19.24                      -9.1518298
               19.266399                      -9.2102106
               19.292801                       -9.267554
               19.319201                      -9.3235645
                 19.3456                      -9.3780119
                  19.372                      -9.4307196
               19.398399                      -9.4815568
               19.424801                      -9.5304138
                 19.4512                      -9.5771861
                 19.4776                      -9.6217527
                  19.504                      -9.6639616
               19.530399                      -9.7036213
               19.556801                       -9.740497
                 19.5832                      -9.7743243
                 19.6096                      -9.8048243
                  19.636                      -9.8317299
               19.662399                      -9.8548169
               19.688801                      -9.8739298
                 19.7152                      -9.8890124
                 19.7416                      -9.9001272
                  19.768                      -9.9074593
               19.794399                      -9.9113133
               19.820801                      -9.9121017
                 19.8472                      -9.9103089
                 19.8736                      -9.9064564
                    19.9                      -9.9010623
               19.926399                       -9.894601
               19.952801                      -9.8874602
                 19.9792                       -9.879919
                 20.0056                      -9.8721244
                  20.032                      -9.8640919
               20.058399                      -9.8557152
               20.084801                       -9.846785
                 20.1112                      -9.8370345
                 20.1376                      -9.8261729
                  20.164                      -9.8139385
               20.190399                      -9.8001372
               20.216801                      -9.7846885
                 20.2432                      -9.7676447
                 20.2696                      -9.7492106
                  20.296                      -9.7297299
               20.322399                      -9.7096739
               20.348801                      -9.6896001
                 20.3752                       -9.670114
                 20.4016                      -9.6518132
               20.427999                      -9.6352415
               20.454399                      -9.6208411
               20.480801                      -9.6089173
                 20.5072                      -9.5996105
                 20.5336                      -9.5928899
               20.559999                      -9.5885526
               20.586399                       -9.586242
               20.612801                      -9.5854801
                 20.6392                      -9.5857071
                 20.6656                      -9.5863303
               20.691999                      -9.5867692
               20.718399                       -9.586505
               20.744801                      -9.5851155
                 20.7712                      -9.5823074
                 20.7976                      -9.5779217
               20.823999                       -9.571935
               20.850401                      -9.5644465
               20.876801                      -9.5556387
