"wgnd
References : ['dB(S(1,1))']
Dependency : [wgnd]
Num. Points : [7]
Matrix Size : scalar
Type : Real","freq
References : ['dB(S(1,1))']
Dependency : [wgnd,freq]
Num. Points : [7,1491]
Matrix Size : scalar
Type : Real","dB(S(1,1))
References : []
Dependency : [wgnd,freq]
Num. Points : [7,1491]
Matrix Size : scalar
Type : Real"
15.200,4.050 GHz,-10.676
15.200,4.060 GHz,-10.715
15.200,4.070 GHz,-10.759
15.200,4.080 GHz,-10.809
15.200,4.090 GHz,-10.864
15.200,4.100 GHz,-10.926
15.200,4.110 GHz,-10.994
15.200,4.120 GHz,-11.070
15.200,4.130 GHz,-11.153
15.200,4.140 GHz,-11.245
15.200,4.150 GHz,-11.346
15.200,4.160 GHz,-11.457
15.200,4.170 GHz,-11.579
15.200,4.180 GHz,-11.713
15.200,4.190 GHz,-11.860
15.200,4.200 GHz,-12.021
15.200,4.210 GHz,-12.199
15.200,4.220 GHz,-12.394
15.200,4.230 GHz,-12.609
15.200,4.240 GHz,-12.847
15.200,4.250 GHz,-13.111
15.200,4.260 GHz,-13.403
15.200,4.270 GHz,-13.729
15.200,4.280 GHz,-14.092
15.200,4.290 GHz,-14.500
15.200,4.300 GHz,-14.959
15.200,4.310 GHz,-15.479
15.200,4.320 GHz,-16.072
15.200,4.330 GHz,-16.753
15.200,4.340 GHz,-17.542
15.200,4.350 GHz,-18.465
15.200,4.360 GHz,-19.561
15.200,4.370 GHz,-20.879
15.200,4.380 GHz,-22.494
15.200,4.390 GHz,-24.499
15.200,4.400 GHz,-26.947
15.200,4.410 GHz,-29.415
15.200,4.420 GHz,-29.913
15.200,4.430 GHz,-27.599
15.200,4.440 GHz,-24.719
15.200,4.450 GHz,-22.232
15.200,4.460 GHz,-20.184
15.200,4.470 GHz,-18.483
15.200,4.480 GHz,-17.049
15.200,4.490 GHz,-15.827
15.200,4.500 GHz,-14.774
15.200,4.510 GHz,-13.861
15.200,4.520 GHz,-13.066
15.200,4.530 GHz,-12.372
15.200,4.540 GHz,-11.764
15.200,4.550 GHz,-11.233
15.200,4.560 GHz,-10.768
15.200,4.570 GHz,-10.360
15.200,4.580 GHz,-10.004
15.200,4.590 GHz,-9.693
15.200,4.600 GHz,-9.420
15.200,4.610 GHz,-9.182
15.200,4.620 GHz,-8.975
15.200,4.630 GHz,-8.794
15.200,4.640 GHz,-8.636
15.200,4.650 GHz,-8.498
15.200,4.660 GHz,-8.379
15.200,4.670 GHz,-8.275
15.200,4.680 GHz,-8.184
15.200,4.690 GHz,-8.106
15.200,4.700 GHz,-8.038
15.200,4.710 GHz,-7.979
15.200,4.720 GHz,-7.928
15.200,4.730 GHz,-7.884
15.200,4.740 GHz,-7.847
15.200,4.750 GHz,-7.814
15.200,4.760 GHz,-7.787
15.200,4.770 GHz,-7.763
15.200,4.780 GHz,-7.743
15.200,4.790 GHz,-7.726
15.200,4.800 GHz,-7.712
15.200,4.810 GHz,-7.700
15.200,4.820 GHz,-7.690
15.200,4.830 GHz,-7.682
15.200,4.840 GHz,-7.675
15.200,4.850 GHz,-7.670
15.200,4.860 GHz,-7.665
15.200,4.870 GHz,-7.661
15.200,4.880 GHz,-7.658
15.200,4.890 GHz,-7.655
15.200,4.900 GHz,-7.653
15.200,4.910 GHz,-7.651
15.200,4.920 GHz,-7.649
15.200,4.930 GHz,-7.647
15.200,4.940 GHz,-7.645
15.200,4.950 GHz,-7.642
15.200,4.960 GHz,-7.640
15.200,4.970 GHz,-7.637
15.200,4.980 GHz,-7.634
15.200,4.990 GHz,-7.630
15.200,5.000 GHz,-7.625
15.200,5.010 GHz,-7.621
15.200,5.020 GHz,-7.615
15.200,5.030 GHz,-7.609
15.200,5.040 GHz,-7.602
15.200,5.050 GHz,-7.594
15.200,5.060 GHz,-7.586
15.200,5.070 GHz,-7.576
15.200,5.080 GHz,-7.566
15.200,5.090 GHz,-7.555
15.200,5.100 GHz,-7.543
15.200,5.110 GHz,-7.530
15.200,5.120 GHz,-7.516
15.200,5.130 GHz,-7.501
15.200,5.140 GHz,-7.485
15.200,5.150 GHz,-7.468
15.200,5.160 GHz,-7.450
15.200,5.170 GHz,-7.431
15.200,5.180 GHz,-7.411
15.200,5.190 GHz,-7.391
15.200,5.200 GHz,-7.369
15.200,5.210 GHz,-7.346
15.200,5.220 GHz,-7.322
15.200,5.230 GHz,-7.298
15.200,5.240 GHz,-7.272
15.200,5.250 GHz,-7.246
15.200,5.260 GHz,-7.218
15.200,5.270 GHz,-7.190
15.200,5.280 GHz,-7.161
15.200,5.290 GHz,-7.132
15.200,5.300 GHz,-7.101
15.200,5.310 GHz,-7.070
15.200,5.320 GHz,-7.038
15.200,5.330 GHz,-7.006
15.200,5.340 GHz,-6.973
15.200,5.350 GHz,-6.939
15.200,5.360 GHz,-6.905
15.200,5.370 GHz,-6.871
15.200,5.380 GHz,-6.836
15.200,5.390 GHz,-6.801
15.200,5.400 GHz,-6.765
15.200,5.410 GHz,-6.729
15.200,5.420 GHz,-6.693
15.200,5.430 GHz,-6.657
15.200,5.440 GHz,-6.621
15.200,5.450 GHz,-6.584
15.200,5.460 GHz,-6.548
15.200,5.470 GHz,-6.512
15.200,5.480 GHz,-6.475
15.200,5.490 GHz,-6.439
15.200,5.500 GHz,-6.403
15.200,5.510 GHz,-6.366
15.200,5.520 GHz,-6.331
15.200,5.530 GHz,-6.295
15.200,5.540 GHz,-6.260
15.200,5.550 GHz,-6.225
15.200,5.560 GHz,-6.190
15.200,5.570 GHz,-6.155
15.200,5.580 GHz,-6.121
15.200,5.590 GHz,-6.088
15.200,5.600 GHz,-6.055
15.200,5.610 GHz,-6.022
15.200,5.620 GHz,-5.990
15.200,5.630 GHz,-5.958
15.200,5.640 GHz,-5.927
15.200,5.650 GHz,-5.897
15.200,5.660 GHz,-5.867
15.200,5.670 GHz,-5.837
15.200,5.680 GHz,-5.808
15.200,5.690 GHz,-5.780
15.200,5.700 GHz,-5.752
15.200,5.710 GHz,-5.725
15.200,5.720 GHz,-5.699
15.200,5.730 GHz,-5.673
15.200,5.740 GHz,-5.648
15.200,5.750 GHz,-5.624
15.200,5.760 GHz,-5.600
15.200,5.770 GHz,-5.577
15.200,5.780 GHz,-5.555
15.200,5.790 GHz,-5.533
15.200,5.800 GHz,-5.512
15.200,5.810 GHz,-5.491
15.200,5.820 GHz,-5.472
15.200,5.830 GHz,-5.453
15.200,5.840 GHz,-5.434
15.200,5.850 GHz,-5.417
15.200,5.860 GHz,-5.400
15.200,5.870 GHz,-5.383
15.200,5.880 GHz,-5.367
15.200,5.890 GHz,-5.352
15.200,5.900 GHz,-5.338
15.200,5.910 GHz,-5.324
15.200,5.920 GHz,-5.311
15.200,5.930 GHz,-5.299
15.200,5.940 GHz,-5.287
15.200,5.950 GHz,-5.276
15.200,5.960 GHz,-5.266
15.200,5.970 GHz,-5.256
15.200,5.980 GHz,-5.247
15.200,5.990 GHz,-5.238
15.200,6.000 GHz,-5.230
15.200,6.010 GHz,-5.223
15.200,6.020 GHz,-5.216
15.200,6.030 GHz,-5.210
15.200,6.040 GHz,-5.205
15.200,6.050 GHz,-5.200
