        Frequency / GHz                S1,1/abs,dB
                 17,1408                      -4,7078878
               17,158701                      -4,7416667
                 17,1766                      -4,7769634
                 17,1945                      -4,8137855
                 17,2124                      -4,8521395
               17,230301                      -4,8920353
               17,248199                      -4,9334803
                 17,2661                      -4,9764846
                  17,284                      -5,0210558
               17,301901                      -5,0672031
               17,319799                       -5,114934
                 17,3377                      -5,1642581
                 17,3556                       -5,215182
               17,373501                      -5,2677126
               17,391399                      -5,3218544
                 17,4093                      -5,3776138
                 17,4272                      -5,4349931
               17,445101                      -5,4939951
               17,462999                      -5,5546171
                 17,4809                      -5,6168589
                 17,4988                       -5,680715
               17,516701                      -5,7461762
               17,534599                      -5,8132346
                 17,5525                      -5,8818748
                 17,5704                      -5,9520762
               17,588301                      -6,0238198
               17,606199                      -6,0970784
                 17,6241                       -6,171818
                  17,642                      -6,2480028
               17,659901                      -6,3255888
               17,677799                      -6,4045277
                 17,6957                      -6,4847625
                 17,7136                      -6,5662296
               17,731501                      -6,6488585
               17,749399                      -6,7325695
                 17,7673                       -6,817275
                 17,7852                      -6,9028786
               17,803101                      -6,9892757
               17,820999                       -7,076348
                 17,8389                       -7,163972
                 17,8568                      -7,2520126
               17,874701                       -7,340322
               17,892599                      -7,4287461
                 17,9105                      -7,5171173
                 17,9284                       -7,605259
               17,946301                       -7,692984
               17,964199                      -7,7800964
                 17,9821                      -7,8663908
                      18                      -7,9516541

