"# Channel 1"
"# Trace 1"
Frequency; Formatted Data; Formatted Data
+1,17901035000E+010; -2,93189232138E+000; +0,00000000000E+000
+1,18801020000E+010; -2,91169810734E+000; +0,00000000000E+000
+1,19701005000E+010; -3,03552472726E+000; +0,00000000000E+000
+1,20600990000E+010; -3,03976906145E+000; +0,00000000000E+000
+1,21500975000E+010; -2,84990535845E+000; +0,00000000000E+000
+1,22400960000E+010; -2,69598626803E+000; +0,00000000000E+000
+1,23300945000E+010; -2,94930696935E+000; +0,00000000000E+000
+1,24200930000E+010; -2,79003995762E+000; +0,00000000000E+000
+1,25100915000E+010; -2,94933564753E+000; +0,00000000000E+000
+1,26000900000E+010; -2,77902900709E+000; +0,00000000000E+000
+1,26900885000E+010; -3,00499269639E+000; +0,00000000000E+000
+1,27800870000E+010; -3,18031263802E+000; +0,00000000000E+000
+1,28700855000E+010; -3,39773701068E+000; +0,00000000000E+000
+1,29600840000E+010; -3,58528411250E+000; +0,00000000000E+000
+1,30500825000E+010; -3,60870634179E+000; +0,00000000000E+000
+1,31400810000E+010; -3,50502873354E+000; +0,00000000000E+000
+1,32300795000E+010; -3,26451878189E+000; +0,00000000000E+000
+1,33200780000E+010; -3,29990315507E+000; +0,00000000000E+000
+1,34100765000E+010; -3,51452369238E+000; +0,00000000000E+000
+1,35000750000E+010; -3,78080292420E+000; +0,00000000000E+000
+1,35900735000E+010; -4,56716219205E+000; +0,00000000000E+000
+1,36800720000E+010; -4,66238509055E+000; +0,00000000000E+000
+1,37700705000E+010; -4,28804598780E+000; +0,00000000000E+000
+1,38600690000E+010; -4,15318477711E+000; +0,00000000000E+000
+1,39500675000E+010; -4,41712380054E+000; +0,00000000000E+000
+1,40400660000E+010; -4,60247710803E+000; +0,00000000000E+000
+1,41300645000E+010; -5,02098207274E+000; +0,00000000000E+000
+1,42200630000E+010; -5,22100877439E+000; +0,00000000000E+000
+1,43100615000E+010; -7,18781600335E+000; +0,00000000000E+000
+1,44000600000E+010; -7,32902214951E+000; +0,00000000000E+000
+1,44900585000E+010; -7,45644585397E+000; +0,00000000000E+000
+1,45800570000E+010; -7,51357947248E+000; +0,00000000000E+000
+1,46700555000E+010; -6,67243501398E+000; +0,00000000000E+000
+1,47600540000E+010; -7,30378428335E+000; +0,00000000000E+000
+1,48500525000E+010; -6,34857757290E+000; +0,00000000000E+000
+1,49400510000E+010; -8,35053321535E+000; +0,00000000000E+000
+1,50300495000E+010; -9,37205511186E+000; +0,00000000000E+000
+1,51200480000E+010; -9,75752589043E+000; +0,00000000000E+000
+1,52100465000E+010; -1,00163031327E+001; +0,00000000000E+000
+1,53000450000E+010; -9,41488424364E+000; +0,00000000000E+000
+1,53900435000E+010; -9,59526349458E+000; +0,00000000000E+000
+1,54800420000E+010; -6,28977333542E+000; +0,00000000000E+000
+1,55700405000E+010; -6,94602673891E+000; +0,00000000000E+000
+1,56600390000E+010; -8,34712635512E+000; +0,00000000000E+000
+1,57500375000E+010; -8,64206255651E+000; +0,00000000000E+000
+1,58400360000E+010; -9,35869834652E+000; +0,00000000000E+000
+1,59300345000E+010; -8,95786759948E+000; +0,00000000000E+000
+1,60200330000E+010; -8,74025791129E+000; +0,00000000000E+000
+1,61100315000E+010; -8,04543994332E+000; +0,00000000000E+000
+1,62000300000E+010; -8,69787682765E+000; +0,00000000000E+000
+1,62900285000E+010; -8,46762376701E+000; +0,00000000000E+000
+1,63800270000E+010; -1,01180815575E+001; +0,00000000000E+000
