        Frequency / GHz                S1,1 (1)/abs,dB
                 12.5872                      -17.422682
                 12.6136                      -17.576189
                   12.64                      -17.745751
                 12.6664                      -17.932512
                 12.6928                      -18.137744
                 12.7192                      -18.362881
                 12.7456                      -18.609551
                  12.772                      -18.879618
                 12.7984                       -19.17523
                 12.8248                      -19.498885
                 12.8512                      -19.853512
                 12.8776                      -20.242571
                  12.904                       -20.67019
                 12.9304                      -21.141351
                 12.9568                      -21.662131
                 12.9832                      -22.240049
                 13.0096                       -22.88454
                  13.036                      -23.607662
                 13.0624                       -24.42511
                 13.0888                      -25.357774
                 13.1152                      -26.434131
                 13.1416                      -27.693939
                  13.168                      -29.193744
                 13.1944                      -31.013106
                 13.2208                      -33.248323
                 13.2472                      -35.898979
                 13.2736                      -38.179465
                    13.3                      -37.773652
                 13.3264                      -35.082085
                 13.3528                      -32.288901
                 13.3792                      -29.935196
                 13.4056                      -27.980855
                  13.432                      -26.330146
                 13.4584                       -24.90806
                 13.4848                      -23.661657
                 13.5112                      -22.553638
                 13.5376                      -21.557197
                  13.564                       -20.65259
                 13.5904                      -19.824927
                 13.6168                       -19.06274
                 13.6432                      -18.357023
                 13.6696                      -17.700586
                  13.696                      -17.087599
                 13.7224                      -16.513276
                 13.7488                      -15.973638
                 13.7752                      -15.465338
                 13.8016                      -14.985546
                  13.828                      -14.531832
                 13.8544                      -14.102108
                 13.8808                      -13.694555
                 13.9072                      -13.307586
                 13.9336                      -12.939806
                   13.96                      -12.589982
                 13.9864                      -12.257016
                 14.0128                      -11.939932
                 14.0392                      -11.637851
                 14.0656                       -11.34999
                  14.092                      -11.075636
                 14.1184                      -10.814147
                 14.1448                      -10.564943
                 14.1712                      -10.327492
                 14.1976                      -10.101314
                  14.224                      -9.8859689
                 14.2504                      -9.6810585
                 14.2768                      -9.4862148
                 14.3032                      -9.3011051
                 14.3296                      -9.1254226
                  14.356                      -8.9588887
                 14.3824                      -8.8012484
                 14.4088                      -8.6522684
                 14.4352                      -8.5117361
                 14.4616                      -8.3794563
                  14.488                      -8.2552546
                 14.5144                      -8.1389698
                 14.5408                      -8.0304535
                 14.5672                      -7.9295745
                 14.5936                      -7.8362137
                   14.62                       -7.750261
                 14.6464                      -7.6716179
                 14.6728                      -7.6001947
                 14.6992                      -7.5359113
                 14.7256                      -7.4786937
                  14.752                      -7.4284768
                 14.7784                      -7.3851979
                 14.8048                      -7.3488011
                 14.8312                      -7.3192356
                 14.8576                      -7.2964524
                  14.884                      -7.2804051
                 14.9104                      -7.2710503
                 14.9368                      -7.2683433
                 14.9632                      -7.2722413
                 14.9896                      -7.2827019
                  15.016                       -7.299679
                 15.0424                       -7.323126
                 15.0688                      -7.3529954
                 15.0952                      -7.3892326
                 15.1216                      -7.4317812
                  15.148                      -7.4805816
                 15.1744                      -7.5355676
                 15.2008                      -7.5966658
                 15.2272                      -7.6638005
                 15.2536                      -7.7368875
                   15.28                      -7.8158338
                 15.3064                      -7.9005411
                 15.3328                      -7.9909049
                 15.3592                      -8.0868093
                 15.3856                      -8.1881301
                  15.412                      -8.2947391
                 15.4384                      -8.4064969
                 15.4648                      -8.5232542
                 15.4912                      -8.6448558
                 15.5176                      -8.7711389
                  15.544                      -8.9019306
                 15.5704                      -9.0370539
                 15.5968                       -9.176321
                 15.6232                      -9.3195411
                 15.6496                      -9.4665162
                  15.676                       -9.617044
                 15.7024                      -9.7709154
                 15.7288                      -9.9279216
                 15.7552                      -10.087847
                 15.7816                      -10.250479
                  15.808                      -10.415597
                 15.8344                      -10.582986
                 15.8608                      -10.752428
                 15.8872                      -10.923707
                 15.9136                      -11.096607
                   15.94                      -11.270913
                 15.9664                      -11.446416
                 15.9928                      -11.622909
               16.019199                       -11.80018
               16.045601                      -11.978031
               16.072001                       -12.15626
                 16.0984                      -12.334672
                 16.1248                      -12.513075
               16.151199                      -12.691283
               16.177601                      -12.869116
                  16.204                      -13.046403
                 16.2304                      -13.222979
                 16.2568                      -13.398695
               16.283199                      -13.573415
               16.309601                      -13.747024
                  16.336                      -13.919428
                 16.3624                      -14.090561
                 16.3888                      -14.260392
               16.415199                      -14.428927
               16.441601                      -14.596217
                  16.468                      -14.762367
                 16.4944                      -14.927539
                 16.5208                      -15.091958
               16.547199                      -15.255921
               16.573601                      -15.419797
                    16.6                      -15.584041
                 16.6264                      -15.749186
                 16.6528                      -15.915858
               16.679199                      -16.084773
               16.705601                      -16.256736
                  16.732                      -16.432653
                 16.7584                      -16.613526
                 16.7848                      -16.800452
               16.811199                      -16.994632
               16.837601                      -17.197379
                  16.864                       -17.41011
                 16.8904                       -17.63437
                 16.9168                      -17.871831
               16.943199                      -18.124317
               16.969601                      -18.393822
                  16.996                      -18.682538
                 17.0224                       -18.99289
                 17.0488                      -19.327591
               17.075199                      -19.689701
               17.101601                      -20.082715
                  17.128                      -20.510671
                 17.1544                      -20.978308
               17.180799                      -21.491266
               17.207199                      -22.056384
               17.233601                      -22.682095
                   17.26                      -23.379044
                 17.2864                      -24.160968
               17.312799                      -25.046122
               17.339199                      -26.059567
               17.365601                      -27.237147
                  17.392                      -28.632838
                 17.4184                      -30.333644
               17.444799                        -32.4938
               17.471201                      -35.429152
               17.497601                      -39.971359
                  17.524                      -50.147154
                 17.5504                      -47.767237
               17.576799                      -39.055843
               17.603201                      -34.762442
               17.629601                      -31.892824
                  17.656                      -29.736958
                 17.6824                      -28.012411
