        Frequency / GHz                S1,1 (Lgnd=16.25)/abs,dB
               8.6800003                      -8.5940155
               8.7063999                      -8.4473822
               8.7327995                      -8.3051814
               8.7592001                      -8.1673652
               8.7855997                      -8.0338713
               8.8120003                       -7.904625
               8.8383999                      -7.7795422
               8.8648005                      -7.6585309
               8.8912001                      -7.5414936
               8.9175997                      -7.4283301
               8.9440002                      -7.3189382
               8.9703999                      -7.2132178
               8.9968004                       -7.111068
                  9.0232                      -7.0123921
               9.0495996                      -6.9170947
               9.0760002                      -6.8250868
               9.1023998                      -6.7362815
               9.1288004                      -6.6505986
                  9.1552                      -6.5679607
               9.1815996                      -6.4882951
               9.2080002                      -6.4115349
               9.2343998                      -6.3376144
               9.2608004                      -6.2664717
                  9.2872                      -6.1980493
               9.3135996                      -6.1322885
               9.3400002                      -6.0691315
               9.3663998                       -6.008522
               9.3928003                      -5.9504022
               9.4191999                      -5.8947094
               9.4455996                      -5.8413841
               9.4720001                      -5.7903563
               9.4983997                      -5.7415562
               9.5248003                      -5.6949063
               9.5511999                      -5.6503277
               9.5775995                      -5.6077297
               9.6040001                       -5.567022
               9.6303997                      -5.5281029
               9.6568003                      -5.4908697
               9.6831999                      -5.4552124
               9.7096004                      -5.4210146
               9.7360001                      -5.3881617
               9.7623997                       -5.356531
               9.7888002                      -5.3260028
               9.8151999                      -5.2964546
               9.8416004                      -5.2677677
                   9.868                      -5.2398276
               9.8943996                      -5.2125237
               9.9208002                      -5.1857561
               9.9471998                      -5.1594312
               9.9736004                      -5.1334703
                      10                      -5.1078072
                 10.0264                       -5.082389
                 10.0528                      -5.0571854
                 10.0792                      -5.0321792
                 10.1056                      -5.0073761
                  10.132                      -4.9828026
                 10.1584                      -4.9585064
                 10.1848                      -4.9345591
                 10.2112                      -4.9110472
                 10.2376                      -4.8880863
                  10.264                      -4.8658089
                 10.2904                      -4.8443688
                 10.3168                      -4.8239368
                 10.3432                       -4.804701
                 10.3696                      -4.7868665
                  10.396                      -4.7706492
                 10.4224                       -4.756278
                 10.4488                      -4.7439907
                 10.4752                      -4.7340329
                 10.5016                      -4.7266547
                  10.528                      -4.7221104
                 10.5544                      -4.7206552
                 10.5808                      -4.7225448
                 10.6072                      -4.7280304
                 10.6336                      -4.7373623
                   10.66                      -4.7507844
                 10.6864                      -4.7685345
                 10.7128                      -4.7908434
                 10.7392                      -4.8179331
                 10.7656                      -4.8500164
                  10.792                      -4.8872961
                 10.8184                      -4.9299657
                 10.8448                      -4.9782049
                 10.8712                       -5.032187
                 10.8976                      -5.0920655
                  10.924                      -5.1579912
                 10.9504                      -5.2300961
                 10.9768                      -5.3085032
                 11.0032                      -5.3933211
                 11.0296                      -5.4846469
                  11.056                      -5.5825641
                 11.0824                      -5.6871419
                 11.1088                      -5.7984404
                 11.1352                      -5.9165033
                 11.1616                      -6.0413609
                  11.188                      -6.1730289
                 11.2144                      -6.3115114
                 11.2408                      -6.4567954
                 11.2672                      -6.6088542
                 11.2936                      -6.7676436
                   11.32                      -6.9331062
                 11.3464                      -7.1051656
                 11.3728                      -7.2837274
                 11.3992                      -7.4686813
                 11.4256                       -7.659895
                  11.452                       -7.857217
                 11.4784                       -8.060473
                 11.5048                      -8.2694664
                 11.5312                      -8.4839769
                 11.5576                      -8.7037559
                  11.584                      -8.9285295
                 11.6104                      -9.1579927
                 11.6368                      -9.3918075
                 11.6632                      -9.6296045
                 11.6896                      -9.8709722
                  11.716                      -10.115467
                 11.7424                      -10.362595
                 11.7688                      -10.611821
                 11.7952                       -10.86256
                 11.8216                       -11.11417
                  11.848                      -11.365957
                 11.8744                      -11.617163
                 11.9008                      -11.866969
                 11.9272                      -12.114484
                 11.9536                      -12.358752
                   11.98                      -12.598742
                 12.0064                      -12.833353
                 12.0328                      -13.061413
                 12.0592                      -13.281683
                 12.0856                      -13.492868
                  12.112                      -13.693622
                 12.1384                      -13.882572
                 12.1648                      -14.058329
                 12.1912                      -14.219517
                 12.2176                      -14.364803
                  12.244                      -14.492927
                 12.2704                      -14.602743
                 12.2968                      -14.693244
                 12.3232                      -14.763611
                 12.3496                      -14.813233
                  12.376                      -14.841734
                 12.4024                      -14.848995
                 12.4288                      -14.835151
                 12.4552                      -14.800596
                 12.4816                      -14.745962
                  12.508                      -14.672102
                 12.5344                      -14.580053
                 12.5608                      -14.471006
                 12.5872                      -14.346265
                 12.6136                       -14.20721
                   12.64                      -14.055263
                 12.6664                      -13.891851
                 12.6928                      -13.718381
                 12.7192                      -13.536219
                 12.7456                      -13.346668
                  12.772                       -13.15096
                 12.7984                      -12.950242
                 12.8248                      -12.745577
                 12.8512                      -12.537937
                 12.8776                      -12.328208
                  12.904                      -12.117195
                 12.9304                      -11.905617
                 12.9568                       -11.69412
                 12.9832                      -11.483279
                 13.0096                      -11.273607
                  13.036                      -11.065553
                 13.0624                      -10.859518
                 13.0888                      -10.655848
                 13.1152                       -10.45485
                 13.1416                      -10.256789
                  13.168                      -10.061898
                 13.1944                      -9.8703723
