        Frequency / GHz                S1,1 (Scl=0.8)/abs,dB
                 13.1944                      -17.367191
                 13.2208                      -17.163745
                 13.2472                      -16.941971
                 13.2736                      -16.706715
                    13.3                      -16.462392
                 13.3264                      -16.212894
                 13.3528                      -15.961566
                 13.3792                      -15.711216
                 13.4056                      -15.464152
                  13.432                      -15.222231
                 13.4584                      -14.986927
                 13.4848                      -14.759377
                 13.5112                      -14.540441
                 13.5376                      -14.330741
                  13.564                      -14.130714
                 13.5904                      -13.940637
                 13.6168                      -13.760663
                 13.6432                      -13.590843
                 13.6696                      -13.431144
                  13.696                      -13.281474
                 13.7224                      -13.141686
                 13.7488                      -13.011597
                 13.7752                      -12.890994
                 13.8016                      -12.779642
                  13.828                      -12.677293
                 13.8544                      -12.583688
                 13.8808                      -12.498563
                 13.9072                      -12.421655
                 13.9336                      -12.352703
                   13.96                      -12.291449
                 13.9864                      -12.237646
                 14.0128                      -12.191054
                 14.0392                      -12.151445
                 14.0656                      -12.118605
                  14.092                      -12.092328
                 14.1184                      -12.072425
                 14.1448                       -12.05872
                 14.1712                      -12.051048
                 14.1976                      -12.049259
                  14.224                       -12.05321
                 14.2504                      -12.062769
                 14.2768                      -12.077813
                 14.3032                      -12.098221
                 14.3296                      -12.123876
                  14.356                      -12.154661
                 14.3824                      -12.190454
                 14.4088                      -12.231124
                 14.4352                      -12.276532
                 14.4616                      -12.326523
                  14.488                      -12.380921
                 14.5144                      -12.439527
                 14.5408                      -12.502114
                 14.5672                      -12.568425
                 14.5936                      -12.638165
                   14.62                      -12.710999
                 14.6464                      -12.786552
                 14.6728                        -12.8644
                 14.6992                      -12.944072
                 14.7256                      -13.025048
                  14.752                      -13.106757
                 14.7784                      -13.188579
                 14.8048                      -13.269845
                 14.8312                      -13.349847
                 14.8576                      -13.427835
                  14.884                      -13.503028
                 14.9104                      -13.574623
                 14.9368                      -13.641802
                 14.9632                      -13.703751
                 14.9896                      -13.759667
                  15.016                       -13.80877
                 15.0424                      -13.850331
                 15.0688                       -13.88367
                 15.0952                      -13.908182
                 15.1216                      -13.923343
                  15.148                      -13.928725
                 15.1744                      -13.924005
                 15.2008                      -13.908962
                 15.2272                      -13.883495
                 15.2536                      -13.847609
                   15.28                      -13.801421
                 15.3064                      -13.745149
                 15.3328                      -13.679109
                 15.3592                      -13.603704
                 15.3856                      -13.519416
                  15.412                      -13.426793
                 15.4384                      -13.326441
                 15.4648                      -13.219015
                 15.4912                      -13.105206
                 15.5176                      -12.985738
                  15.544                      -12.861355
                 15.5704                       -12.73282
                 15.5968                      -12.600903
                 15.6232                      -12.466384
                 15.6496                      -12.330039
                  15.676                      -12.192648
                 15.7024                       -12.05498
                 15.7288                      -11.917799
                 15.7552                      -11.781859
                 15.7816                      -11.647898
                  15.808                      -11.516645
                 15.8344                      -11.388809
                 15.8608                      -11.265086
                 15.8872                      -11.146153
                 15.9136                      -11.032667
                   15.94                      -10.925272
                 15.9664                      -10.824586
                 15.9928                      -10.731214
               16.019199                      -10.645745
               16.045601                      -10.568745
               16.072001                       -10.50077
                 16.0984                      -10.442357
                 16.1248                      -10.394031
               16.151199                      -10.356308
               16.177601                      -10.329693
                  16.204                      -10.314684
                 16.2304                      -10.311772
                 16.2568                       -10.32145
               16.283199                      -10.344208
               16.309601                      -10.380541
                  16.336                      -10.430953
                 16.3624                      -10.495955
                 16.3888                      -10.576074
               16.415199                      -10.671856
               16.441601                       -10.78387
                  16.468                      -10.912711
                 16.4944                      -11.059013
                 16.5208                      -11.223443
               16.547199                      -11.406723
               16.573601                       -11.60962
                    16.6                       -11.83297
                 16.6264                      -12.077679
                 16.6528                      -12.344734
               16.679199                      -12.635219
               16.705601                      -12.950319
                  16.732                      -13.291342
                 16.7584                      -13.659725
                 16.7848                      -14.057055
               16.811199                      -14.485069
               16.837601                      -14.945668
                  16.864                      -15.440908
                 16.8904                      -15.972969
                 16.9168                      -16.544101
               16.943199                      -17.156492
               16.969601                      -17.812029
                  16.996                      -18.511869
                 17.0224                      -19.255677
                 17.0488                      -20.040341
               17.075199                      -20.857822
