        Frequency / GHz                S1,1 (Lgnd=18.25)/abs,dB
                 10.8712                      -11.451356
                 10.8976                      -11.451738
                  10.924                       -11.44334
                 10.9504                      -11.426446
                 10.9768                       -11.40146
                 11.0032                      -11.368888
                 11.0296                      -11.329321
                  11.056                      -11.283422
                 11.0824                      -11.231895
                 11.1088                      -11.175479
                 11.1352                       -11.11492
                 11.1616                      -11.050964
                  11.188                      -10.984335
                 11.2144                      -10.915736
                 11.2408                      -10.845832
                 11.2672                      -10.775247
                 11.2936                      -10.704561
                   11.32                      -10.634312
                 11.3464                      -10.564989
                 11.3728                       -10.49704
                 11.3992                      -10.430872
                 11.4256                      -10.366853
                  11.452                      -10.305319
                 11.4784                      -10.246576
                 11.5048                      -10.190906
                 11.5312                      -10.138568
                 11.5576                       -10.08981
                  11.584                      -10.044862
                 11.6104                       -10.00395
                 11.6368                      -9.9672919
                 11.6632                      -9.9351084
                 11.6896                      -9.9076172
                  11.716                      -9.8850446
                 11.7424                      -9.8676202
                 11.7688                       -9.855584
                 11.7952                      -9.8491835
                 11.8216                      -9.8486811
                  11.848                      -9.8543462
                 11.8744                      -9.8664702
                 11.9008                      -9.8853503
                 11.9272                      -9.9113042
                 11.9536                      -9.9446649
                   11.98                      -9.9857821
                 12.0064                      -10.035021
                 12.0328                       -10.09277
                 12.0592                      -10.159431
                 12.0856                      -10.235432
                  12.112                      -10.321219
                 12.1384                      -10.417267
                 12.1648                      -10.524073
                 12.1912                      -10.642163
                 12.2176                      -10.772096
                  12.244                      -10.914464
                 12.2704                      -11.069898
                 12.2968                      -11.239075
                 12.3232                      -11.422716
                 12.3496                        -11.6216
                  12.376                      -11.836567
                 12.4024                      -12.068524
                 12.4288                      -12.318459
                 12.4552                      -12.587448
                 12.4816                      -12.876668
                  12.508                      -13.187405
                 12.5344                      -13.521074
                 12.5608                      -13.879228
                 12.5872                      -14.263574
                 12.6136                      -14.675979
                   12.64                      -15.118482
                 12.6664                      -15.593284
                 12.6928                      -16.102718
                 12.7192                      -16.649188
                 12.7456                      -17.235033
                  12.772                      -17.862275
                 12.7984                      -18.532159
                 12.8248                       -19.24435
                 12.8512                      -19.995552
                 12.8776                       -20.77722
                  12.904                      -21.572022
                 12.9304                      -22.348987
                 12.9568                      -23.058576
                 12.9832                      -23.631854
                 13.0096                      -23.991186
                  13.036                      -24.076486
                 13.0624                      -23.874679
                 13.0888                      -23.427078
                 13.1152                      -22.807205
                 13.1416                      -22.090269
                  13.168                      -21.335095
                 13.1944                      -20.580659
                 13.2208                      -19.849873
                 13.2472                      -19.154766
                 13.2736                      -18.500661
                    13.3                       -17.88901
                 13.3264                       -17.31913
                 13.3528                      -16.789253
                 13.3792                      -16.297115
                 13.4056                      -15.840288
                  13.432                      -15.416367
                 13.4584                      -15.023056
                 13.4848                      -14.658218
                 13.5112                      -14.319882
                 13.5376                       -14.00625
                  13.564                      -13.715683
                 13.5904                      -13.446689
                 13.6168                      -13.197918
                 13.6432                       -12.96814
                 13.6696                      -12.756236
                  13.696                      -12.561189
                 13.7224                      -12.382067
                 13.7488                      -12.218025
                 13.7752                      -12.068286
                 13.8016                      -11.932142
                  13.828                       -11.80894
                 13.8544                      -11.698088
                 13.8808                      -11.599038
                 13.9072                      -11.511293
                 13.9336                      -11.434391
                   13.96                      -11.367916
                 13.9864                      -11.311481
                 14.0128                      -11.264736
                 14.0392                      -11.227358
                 14.0656                      -11.199052
                  14.092                       -11.17955
                 14.1184                      -11.168603
                 14.1448                      -11.165981
                 14.1712                      -11.171473
                 14.1976                      -11.184884
                  14.224                      -11.206023
                 14.2504                      -11.234715
                 14.2768                      -11.270787
                 14.3032                      -11.314066
                 14.3296                      -11.364379
                  14.356                      -11.421549
                 14.3824                      -11.485386
                 14.4088                      -11.555688
                 14.4352                      -11.632237
                 14.4616                      -11.714791
                  14.488                      -11.803082
                 14.5144                      -11.896812
                 14.5408                      -11.995644
                 14.5672                      -12.099207
                 14.5936                      -12.207078
                   14.62                      -12.318793
                 14.6464                      -12.433829
                 14.6728                      -12.551612
                 14.6992                      -12.671511
                 14.7256                      -12.792834
                  14.752                      -12.914833
