Frequency / GHz;S1,1/abs,dB
6.48;-19.196.722
64.959.998;-19.196.268
65.120.001;-19.187.152
65.279.999;-19.171.453
65.440.001;-19.151.097
65.599.999;-19.127.811
65.760.002;-191.031
6.592;-19.078.287
66.079.998;-19.054.479
66.240.001;-19.032.589
66.399.999;-19.013.379
66.560.001;-18.997.422
66.719.999;-18.985.162
66.880.002;-1.897.691
6.704;-18.972.865
67.199.998;-18.973.129
67.360.001;-18.977.709
67.519.999;-18.986.521
67.680.001;-18.999.446
67.839.999;-19.016.277
68.000.002;-19.036.759
6.816;-19.060.608
68.319.998;-19.087.489
6.848;-19.117.036
68.639.998;-19.148.857
68.800.001;-19.182.543
68.959.999;-19.217.654
69.120.002;-19.253.761
6.928;-19.290.403
69.439.998;-19.327.129
6.96;-19.363.484
69.759.998;-19.399.023
69.920.001;-194.333
70.079.999;-19.465.889
70.240.002;-19.496.378
7.04;-19.524.372
70.560.002;-19.549.506
7.072;-19.571.431
70.879.998;-19.589.835
71.040.001;-19.604.429
71.199.999;-19.614.968
71.360.002;-19.621.229
7.152;-19.623.038
71.680.002;-19.620.246
7.184;-19.612.744
71.999.998;-19.600.469
72.160.001;-19.583.383
72.319.999;-19.561.496
72.480.001;-19.534.848
72.639.999;-19.503.506
72.800.002;-19.467.585
7.296;-19.427.224
73.119.998;-19.382.588
73.280.001;-19.333.881
73.439.999;-19.281.313
73.600.001;-1.922.513
73.759.999;-19.165.594
73.920.002;-19.102.989
7.408;-19.037.601
74.239.998;-18.969.748
74.400.001;-18.899.734
74.559.999;-18.827.878
74.720.001;-18.754.513
74.879.999;-18.679.964
75.040.002;-18.604.543
7.52;-18.528.587
75.359.998;-18.452.402
7.552;-183.763
75.679.998;-18.300.573
75.840.001;-18.225.508
75.999.999;-18.151.392
76.160.002;-18.078.472
7.632;-18.006.995
76.479.998;-17.937.204
7.664;-17.869.298
76.799.998;-17.803.486
76.960.001;-17.739.933
77.119.999;-17.678.804
77.280.002;-17.620.246
7.744;-1.756.437
77.600.002;-1.751.128
7.776;-17.461.066
77.919.998;-17.413.789
78.080.001;-17.369.489
78.239.999;-17.328.187
78.400.002;-17.289.894
78.559.999;-17.254.589
78.720.002;-17.222.238
7.888;-17.192.784
79.039.998;-17.166.158
79.200.001;-17.142.253
79.359.999;-17.120.962
79.520.001;-17.102.157
79.679.999;-17.085.677
79.840.002;-17.071.356
8;-17.059.005
80.159.998;-17.048.421
80.319.996;-17.039.381
80.480.003;-17.031.654
80.640.001;-1.702.498
80.799.999;-17.019.107
80.959.997;-17.013.757
81.120.005;-17.008.653
81.280.003;-17.003.502
81.440.001;-16.998.019
81.599.998;-16.991.908
81.759.996;-16.984.885
81.920.004;-1.697.666
82.080.002;-16.966.962
8.224;-16.955.527
82.399.998;-1.694.211
82.559.996;-16.926.483
82.720.003;-16.908.448
82.880.001;-16.887.822
83.039.999;-16.864.464
83.199.997;-16.838.253
83.360.004;-16.809.115
83.520.002;-16.777.004
8.368;-16.741.913
83.839.998;-16.703.872
83.999.996;-1.666.295
84.160.004;-16.619.253
84.320.002;-16.572.922
8.448;-16.524.132
84.639.997;-16.473.091
84.799.995;-16.420.034
84.960.003;-16.365.224
85.120.001;-16.308.946
85.279.999;-16.251.504
85.439.997;-1.619.322
85.600.004;-1.613.443
85.760.002;-16.075.478
8.592;-16.016.716
86.079.998;-15.958.499
86.239.996;-15.901.185
86.400.003;-15.845.132
86.560.001;-15.790.695
86.719.999;-15.738.225
86.879.997;-15.688.065
87.040.005;-15.640.555
87.200.003;-15.596.026
87.360.001;-15.554.799
87.519.999;-15.517.191
87.679.996;-15.483.502
87.840.004;-15.454.031
88.000.002;-15.429.065
8.816;-15.408.883
88.319.998;-15.393.753
88.479.996;-1.538.393
88.640.003;-15.379.675
88.800.001;-15.381.233
88.959.999;-15.388.835
89.119.997;-15.402.719
89.280.005;-1.542.311
89.440.002;-15.450.218
8.96;-15.484.268
89.759.998;-15.525.452
89.919.996;-15.573.983
90.080.004;-15.630.049
90.240.002;-15.693.845
9.04;-15.765.552
90.559.998;-15.845.351
90.719.995;-15.933.408
90.880.003;-16.029.885
91.040.001;-16.134.946
91.199.999;-16.248.723
91.359.997;-16.371.365
91.520.004;-16.502.985
91.680.002;-16.643.687
9.184;-16.793.573
91.999.998;-16.952.697
92.159.996;-17.121.112
92.320.004;-17.298.827
92.480.001;-17.485.831
92.639.999;-17.682.069
92.799.997;-17.887.423
92.959.995;-18.101.744
93.120.003;-18.324.813
93.280.001;-18.556.332
93.439.999;-18.795.908
93.599.997;-19.043.077
93.760.004;-1.929.724
93.920.002;-19.557.674
9.408;-19.823.515
94.239.998;-20.093.746
94.399.996;-20.367.171
94.560.003;-20.642.399
94.720.001;-20.917.862
94.879.999;-21.191.776
95.039.997;-21.462.182
95.200.005;-21.726.933
95.360.003;-21.983.728
9.552;-2.223.015
95.679.998;-22.463.777
95.839.996;-22.682.152
96.000.004;-22.882.958
96.160.002;-23.064.084
9.632;-23.223.668
96.479.998;-23.360.252
96.639.996;-23.472.745
96.800.003;-23.560.549
96.960.001;-23.623.492
97.119.999;-23.661.808
97.279.997;-2.367.612
97.440.004;-23.667.282
97.600.002;-23.636.364
9.776;-23.584.512
97.919.998;-23.512.901
98.079.996;-2.342.261
98.240.004;-23.314.639
98.400.002;-23.189.822
98.559.999;-23.048.848
98.719.997;-2.289.225
98.879.995;-22.720.443
99.040.003;-22.533.741
99.200.001;-22.332.403
99.359.999;-22.116.687
99.519.997;-21.886.878
99.680.004;-21.643.338
99.840.002;-21.386.537
10;-21.117.062
10.016;-20.835.646
10.032;-20.543.161
10.048;-20.240.607
10.064;-19.929.085
10.08;-19.609.818
10.096;-1.928.405
10.112;-18.953.094
10.128;-18.618.241
10.144;-18.280.789
10.16;-17.941.966
10.176;-17.602.967
10.192;-17.264.906
10.208;-16.928.804
10.224;-16.595.608
10.24;-16.266.168
10.256;-15.941.237
10.272;-15.621.489
10.288;-15.307.509
10.304;-149.998
10.32;-14.698.792
10.336;-14.404.846
10.352;-14.118.264
10.368;-13.839.284
10.384;-13.568.097
10.4;-13.304.853
10.416;-13.049.652
10.432;-12.802.565
10.448;-12.563.633
10.464;-12.332.866
10.48;-1.211.025
10.496;-11.895.755
10.512;-11.689.332
10.528;-11.490.916
10.544;-11.300.427
10.56;-11.117.779
10.576;-10.942.875
10.592;-10.775.606
10.608;-10.615.866
10.624;-10.463.533
10.64;-10.318.491
10.656;-10.180.612
10.672;-10.049.772
10.688;-99.258.373
10.704;-98.086.778
10.72;-96.981.561
10.736;-95.941.397
10.752;-94.964.881
10.768;-94.050.621
10.784;-9.319.721
10.8;-92.403.191
10.816;-91.667.106
10.832;-90.987.485
10.848;-90.362.807
10.864;-89.791.548
10.88;-89.272.094
10.896;-88.802.846
10.912;-88.382.164
10.928;-88.008.387
10.944;-87.679.728
10.96;-87.394.432
10.976;-87.150.675
10.992;-86.946.564
11.008;-86.780.193
11.024;-86.649.579
11.04;-86.552.708
11.056;-86.487.532
11.072;-86.451.944
11.088;-86.443.808
11.104;-86.460.964
11.12;-86.501.235
11.136;-86.562.442
11.152;-8.664.237
11.168;-86.738.852
11.184;-86.849.688
11.2;-86.972.783
11.216;-8.710.602
11.232;-87.247.392
11.248;-87.394.972
11.264;-87.546.874
11.28;-87.701.333
11.296;-87.856.774
11.312;-88.011.637
11.328;-88.164.604
11.344;-88.314.465
11.36;-88.460.182
11.376;-88.600.843
11.392;-88.735.843
11.408;-88.864.618
11.424;-88.986.876
11.44;-89.102.406
11.456;-89.211.299
11.472;-89.313.705
11.488;-89.410.004
11.504;-89.500.681
11.52;-89.586.401
11.536;-89.667.919
11.552;-89.746.105
11.568;-89.821.974
11.584;-89.896.534
11.6;-89.970.943
11.616;-90.046.353
11.632;-90.123.953
11.648;-9.020.496
11.664;-90.290.603
11.68;-90.382.061
11.696;-90.480.494
11.712;-90.587.055
11.728;-9.070.277
11.744;-90.828.693
11.76;-90.965.729
11.776;-91.114.766
11.792;-91.276.527
11.808;-91.451.714
11.824;-91.640.893
11.84;-91.844.524
11.856;-92.062.987
11.872;-92.296.548
11.888;-92.545.351
11.904;-92.809.444
11.92;-93.088.806
