"# Channel 1"
"# Trace 1"
Frequency; Formatted Data; Formatted Data
+1,52100465000E+010; -8,41642309128E+000; +0,00000000000E+000
+1,53000450000E+010; -9,24913495805E+000; +0,00000000000E+000
+1,53900435000E+010; -8,76999651764E+000; +0,00000000000E+000
+1,54800420000E+010; -8,74684958933E+000; +0,00000000000E+000
+1,55700405000E+010; -9,91935396701E+000; +0,00000000000E+000
+1,56600390000E+010; -8,94784105831E+000; +0,00000000000E+000
+1,57500375000E+010; -9,14419879408E+000; +0,00000000000E+000
+1,58400360000E+010; -9,23016260039E+000; +0,00000000000E+000
+1,59300345000E+010; -1,01706788759E+001; +0,00000000000E+000
+1,60200330000E+010; -1,05880250254E+001; +0,00000000000E+000
+1,61100315000E+010; -1,22549899411E+001; +0,00000000000E+000
+1,62000300000E+010; -1,12882477459E+001; +0,00000000000E+000
+1,62900285000E+010; -1,19582082741E+001; +0,00000000000E+000
+1,63800270000E+010; -1,21947006718E+001; +0,00000000000E+000
+1,64700255000E+010; -1,39954934795E+001; +0,00000000000E+000
+1,65600240000E+010; -1,45245436553E+001; +0,00000000000E+000
+1,66500225000E+010; -1,75629996709E+001; +0,00000000000E+000
+1,67400210000E+010; -1,70382345688E+001; +0,00000000000E+000
+1,68300195000E+010; -1,56788871093E+001; +0,00000000000E+000
+1,69200180000E+010; -1,58724588294E+001; +0,00000000000E+000
+1,70100165000E+010; -1,53666744525E+001; +0,00000000000E+000
+1,71000150000E+010; -1,66108362792E+001; +0,00000000000E+000
+1,71900135000E+010; -1,93050490406E+001; +0,00000000000E+000
+1,72800120000E+010; -2,24383388319E+001; +0,00000000000E+000
+1,73700105000E+010; -2,13636740384E+001; +0,00000000000E+000
+1,74600090000E+010; -1,59341208054E+001; +0,00000000000E+000
+1,75500075000E+010; -1,53820189633E+001; +0,00000000000E+000
+1,76400060000E+010; -1,60552546587E+001; +0,00000000000E+000
+1,77300045000E+010; -1,62952885982E+001; +0,00000000000E+000
+1,78200030000E+010; -1,89448573223E+001; +0,00000000000E+000
+1,79100015000E+010; -2,08183882911E+001; +0,00000000000E+000
+1,80000000000E+010; -1,57013898582E+001; +0,00000000000E+000
