        Frequency / GHz                S1,1/abs,dB
                 10,0882                      -3,8588067
                 10,1061                      -3,8176694
                  10,124                      -3,7787641
                 10,1419                      -3,7419613
                 10,1598                      -3,7071349
                 10,1777                      -3,6741714
                 10,1956                       -3,642966
                 10,2135                      -3,6134204
                 10,2314                      -3,5854486
                 10,2493                      -3,5589743
                 10,2672                      -3,5339291
                 10,2851                      -3,5102566
                  10,303                       -3,487906
                 10,3209                      -3,4668446
                 10,3388                      -3,4470403
                 10,3567                      -3,4284776
                 10,3746                      -3,4111457
                 10,3925                       -3,395045
                 10,4104                      -3,3801851
                 10,4283                      -3,3665852
                 10,4462                      -3,3542684
                 10,4641                       -3,343269
                  10,482                      -3,3336271
                 10,4999                       -3,325387
                 10,5178                      -3,3186041
                 10,5357                      -3,3133321
                 10,5536                      -3,3096352
                 10,5715                      -3,3075789
                 10,5894                      -3,3072307
                 10,6073                      -3,3086647
                 10,6252                      -3,3119515
                 10,6431                      -3,3171683
                  10,661                      -3,3243896
                 10,6789                      -3,3336912
                 10,6968                      -3,3451475
                 10,7147                       -3,358834
                 10,7326                      -3,3748234
                 10,7505                      -3,3931843
                 10,7684                      -3,4139859
                 10,7863                      -3,4372935
                 10,8042                      -3,4631658
                 10,8221                       -3,491662
                   10,84                      -3,5228341
                 10,8579                      -3,5567305
                 10,8758                       -3,593392
                 10,8937                      -3,6328557
                 10,9116                      -3,6751519
                 10,9295                      -3,7203052
                 10,9474                      -3,7683315
                 10,9653                      -3,8192394
                 10,9832                      -3,8730331
                 11,0011                      -3,9297028
                  11,019                      -3,9892343
                 11,0369                      -4,0516026
                 11,0548                      -4,1167727
                 11,0727                      -4,1846996
                 11,0906                      -4,2553286
                 11,1085                      -4,3285926
                 11,1264                      -4,4044126
                 11,1443                      -4,4826975
                 11,1622                      -4,5633434
                 11,1801                      -4,6462325
                  11,198                      -4,7312346
                 11,2159                      -4,8182045
                 11,2338                      -4,9069803
                 11,2517                      -4,9973852
                 11,2696                      -5,0892305
                 11,2875                      -5,1823058
                 11,3054                      -5,2763891
                 11,3233                       -5,371243
                 11,3412                      -5,4666091
                 11,3591                      -5,5622185
                  11,377                      -5,6577876
                 11,3949                      -5,7530162
                 11,4128                      -5,8475935
                 11,4307                      -5,9411968
                 11,4486                      -6,0334945
                 11,4665                      -6,1241474
                 11,4844                       -6,212812
                 11,5023                      -6,2991433
                 11,5202                      -6,3827956
                 11,5381                      -6,4634314
                  11,556                      -6,5407178
                 11,5739                      -6,6143378
                 11,5918                      -6,6839877
                 11,6097                      -6,7493853
                 11,6276                      -6,8102724
                 11,6455                      -6,8664188
                 11,6634                      -6,9176259
                 11,6813                      -6,9637262
                 11,6992                      -7,0045929
                 11,7171                      -7,0401344
                  11,735                      -7,0703003
                 11,7529                        -7,09508
                 11,7708                       -7,114501
                 11,7887                      -7,1286323
