freq	dB(S11_fitted)
5,88541666624999937E9	-1,12645692293193145E1
5,93749999950000085E9	-1,14803295807592520E1
5,98958333274999966E9	-1,16641125250683930E1
6,04166666599999935E9	-1,18115111578108101E1
6,09374999924999905E9	-1,19204587010593754E1
6,14583333249999963E9	-1,19915942122100616E1
6,19791666575000200E9	-1,20282475247344944E1
6,24999999899999903E9	-1,20360526260294720E1
6,30208333237499918E9	-1,20223018133129744E1
6,35416666575000200E9	-1,19952059651310727E1
6,40624999912500037E9	-1,19632152068945130E1
6,45833333249999963E9	-1,19344993012048417E1
6,51041666587500067E9	-1,19166218944224922E1
6,56249999924999905E9	-1,19163925820299466E1
6,61458333262500009E9	-1,19398542881379011E1
6,66666666600000024E9	-1,19923568121685986E1
6,71874999937500128E9	-1,20786719366332185E1
6,77083333275000143E9	-1,22031132238158868E1
6,82291666612499892E9	-1,23696290309115797E1
6,87499999950000085E9	-1,25818367685544352E1
6,92708333287500189E9	-1,28429570006110239E1
6,97916666624999937E9	-1,31555837224145100E1
7,03124999962499952E9	-1,35211862434332208E1
7,08333333299999879E9	-1,39391714916603293E1
7,13541666637500072E9	-1,44052417301996449E1
7,18749999974999998E9	-1,49086914536924087E1
7,23958333312500013E9	-1,54283340204574237E1
7,29166666649999939E9	-1,59273277079436837E1
7,34374999987500132E9	-1,63490369888450138E1
7,39583333325000147E9	-1,66195589916121689E1
7,44791666662499985E9	-1,66644799789899345E1
7,50000000000000000E9	-1,64391122321071848E1
7,54687500000000000E9	-1,60115846712512244E1
7,59375000000000000E9	-1,54133481628193114E1
7,64062500000000000E9	-1,47012114387537540E1
7,68750000000000000E9	-1,39296768886956812E1
7,73437500000000000E9	-1,31415160182542690E1
7,78125000000000000E9	-1,23661212475898119E1
7,82812500000000000E9	-1,16217612027882411E1
7,87500000000000000E9	-1,09187337313817445E1
7,92187500000000000E9	-1,02620775360913341E1
7,96875000000000000E9	-9,65352484899338315E0
8,01562500000000000E9	-9,09277582761234804E0
8,06250000000000000E9	-8,57826844206426387E0
8,10937500000000000E9	-8,10762385755136883E0
8,15625000000000000E9	-7,67794880953668191E0
8,20312500000000000E9	-7,28613575934974911E0
8,25000000000000000E9	-6,92916665280540656E0
8,31250000000000000E9	-6,50272923144301185E0
8,37500000000000000E9	-6,12774762335962109E0
8,43750000000000000E9	-5,79921065314900552E0
8,50000000000000000E9	-5,51251808438222834E0
8,56250000000000000E9	-5,26341516468266057E0
8,62500000000000000E9	-5,04800484901863911E0
8,68750000000000000E9	-4,86276249423710372E0
8,75000000000000000E9	-4,70453301544547031E0
8,81250000000000000E9	-4,57051309967766439E0
8,87500000000000000E9	-4,45822487014464119E0
