        Frequency / GHz                S1,1 (Fg=-1.37)/abs,dB
                   13.96                      -5.7343994
                 13.9864                      -5.7345728
                 14.0128                      -5.7360061
                 14.0392                      -5.7385885
                 14.0656                      -5.7421997
                  14.092                      -5.7467105
                 14.1184                      -5.7519842
                 14.1448                      -5.7578821
                 14.1712                       -5.764264
                 14.1976                      -5.7709902
                  14.224                      -5.7779258
                 14.2504                      -5.7849418
                 14.2768                       -5.791917
                 14.3032                      -5.7987435
                 14.3296                      -5.8053199
                  14.356                      -5.8115613
                 14.3824                      -5.8173954
                 14.4088                      -5.8227627
                 14.4352                      -5.8276166
                 14.4616                      -5.8319266
                  14.488                      -5.8356694
                 14.5144                      -5.8388364
                 14.5408                       -5.841425
                 14.5672                      -5.8434446
                 14.5936                      -5.8449048
                   14.62                      -5.8458221
                 14.6464                      -5.8462125
                 14.6728                       -5.846094
                 14.6992                      -5.8454837
                 14.7256                      -5.8443933
                  14.752                      -5.8428305
                 14.7784                       -5.840801
                 14.8048                      -5.8383031
                 14.8312                      -5.8353307
                 14.8576                      -5.8318753
                  14.884                      -5.8279213
                 14.9104                      -5.8234558
                 14.9368                       -5.818462
                 14.9632                      -5.8129278
                 14.9896                      -5.8068442
                  15.016                       -5.800208
                 15.0424                      -5.7930267
                 15.0688                      -5.7853203
                 15.0952                      -5.7771181
                 15.1216                       -5.768474
                  15.148                      -5.7594524
                 15.1744                      -5.7501442
                 15.2008                      -5.7406555
                 15.2272                      -5.7311201
                 15.2536                      -5.7216893
                   15.28                      -5.7125392
                 15.3064                       -5.703866
                 15.3328                       -5.695886
                 15.3592                      -5.6888328
                 15.3856                      -5.6829565
                  15.412                      -5.6785204
                 15.4384                      -5.6758006
                 15.4648                       -5.675078
                 15.4912                      -5.6766405
                 15.5176                      -5.6807757
                  15.544                      -5.6877723
                 15.5704                      -5.6979119
                 15.5968                      -5.7114723
                 15.6232                      -5.7287153
                 15.6496                      -5.7498986
                  15.676                      -5.7752555
                 15.7024                      -5.8050088
                 15.7288                      -5.8393588
                 15.7552                      -5.8784848
                 15.7816                      -5.9225457
                  15.808                      -5.9716716
                 15.8344                      -6.0259732
                 15.8608                      -6.0855296
                 15.8872                      -6.1503976
                 15.9136                      -6.2206035
                   15.94                      -6.2961461
                 15.9664                      -6.3769956
                 15.9928                      -6.4630959
               16.019199                      -6.5543599
               16.045601                      -6.6506767
               16.072001                      -6.7519041
                 16.0984                      -6.8578773
                 16.1248                      -6.9684055
               16.151199                      -7.0832746
               16.177601                      -7.2022503
                  16.204                      -7.3250769
                 16.2304                       -7.451483
                 16.2568                      -7.5811857
               16.283199                       -7.713888
               16.309601                      -7.8492899
                  16.336                      -7.9870845
                 16.3624                      -8.1269678
                 16.3888                      -8.2686395
               16.415199                      -8.4118071
               16.441601                      -8.5561928
                  16.468                      -8.7015318
                 16.4944                       -8.847579
                 16.5208                      -8.9941113
               16.547199                      -9.1409281
               16.573601                      -9.2878542
                    16.6                      -9.4347355
                 16.6264                      -9.5814468
                 16.6528                      -9.7278804
               16.679199                      -9.8739512
               16.705601                      -10.019588
                  16.732                      -10.164731
                 16.7584                      -10.309331
                 16.7848                      -10.453333
               16.811199                      -10.596684
               16.837601                      -10.739317
                  16.864                       -10.88115
                 16.8904                      -11.022077
                 16.9168                      -11.161968
               16.943199                      -11.300659
               16.969601                       -11.43795
                  16.996                      -11.573606
                 17.0224                      -11.707357
                 17.0488                      -11.838891
               17.075199                      -11.967868
               17.101601                      -12.093911
                  17.128                      -12.216627
                 17.1544                      -12.335599
               17.180799                       -12.45041
               17.207199                      -12.560644
               17.233601                      -12.665901
                   17.26                      -12.765805
                 17.2864                      -12.860025
               17.312799                      -12.948272
               17.339199                      -13.030324
               17.365601                      -13.106019
                  17.392                      -13.175271
                 17.4184                       -13.23807
