        Frequency / GHz                S1,1 (Lf=8.1)/abs,dB
               8.0200005                      -25.943557
               8.0464001                       -25.94816
               8.0727997                      -25.967742
               8.0992002                      -26.001042
               8.1255999                       -26.04576
               8.1520004                      -26.098306
                  8.1784                      -26.153513
               8.2047997                      -26.204361
               8.2312002                      -26.241769
               8.2575998                      -26.254582
               8.2840004                      -26.229904
                  8.3104                      -26.153939
               8.3367996                      -26.013398
               8.3632002                      -25.797341
               8.3895998                      -25.499036
               8.4160004                      -25.117261
                  8.4424                       -24.65655
               8.4687996                      -24.126309
               8.4952002                      -23.539118
               8.5215998                      -22.908832
               8.5480003                      -22.248954
               8.5743999                       -21.57157
               8.6007996                      -20.886824
               8.6272001                      -20.202811
               8.6535997                      -19.525734
               8.6800003                      -18.860178
               8.7063999                      -18.209408
               8.7327995                      -17.575661
               8.7592001                      -16.960381
               8.7855997                      -16.364427
               8.8120003                      -15.788221
               8.8383999                      -15.231871
               8.8648005                      -14.695258
               8.8912001                      -14.178111
               8.9175997                      -13.680045
               8.9440002                      -13.200608
               8.9703999                      -12.739302
               8.9968004                      -12.295601
                  9.0232                       -11.86897
               9.0495996                      -11.458871
               9.0760002                      -11.064767
               9.1023998                      -10.686136
               9.1288004                      -10.322462
                  9.1552                      -9.9732448
               9.1815996                      -9.6380009
               9.2080002                      -9.3162612
               9.2343998                      -9.0075727
               9.2608004                      -8.7114936
                  9.2872                      -8.4276041
               9.3135996                       -8.155495
               9.3400002                      -7.8947727
               9.3663998                      -7.6450552
               9.3928003                      -7.4059793
               9.4191999                       -7.177187
               9.4455996                      -6.9583395
               9.4720001                      -6.7491061
               9.4983997                      -6.5491708
               9.5248003                      -6.3582261
               9.5511999                      -6.1759795
               9.5775995                       -6.002145
               9.6040001                      -5.8364528
               9.6303997                      -5.6786384
               9.6568003                      -5.5284509
               9.6831999                      -5.3856515
               9.7096004                      -5.2500095
               9.7360001                      -5.1213044
               9.7623997                      -4.9993268
               9.7888002                      -4.8838758
               9.8151999                      -4.7747638
               9.8416004                      -4.6718091
                   9.868                      -4.5748399
               9.8943996                      -4.4836953
               9.9208002                      -4.3982226
               9.9471998                      -4.3182742
               9.9736004                      -4.2437124
                      10                      -4.1744055
                 10.0264                      -4.1102278
                 10.0528                      -4.0510595
                 10.0792                      -3.9967851
                 10.1056                      -3.9472885
                  10.132                       -3.902464
                 10.1584                      -3.8621994
                 10.1848                      -3.8263872
                 10.2112                      -3.7949148
                 10.2376                      -3.7676722
                  10.264                      -3.7445415
                 10.2904                      -3.7254008
                 10.3168                      -3.7101247
                 10.3432                      -3.6985749
                 10.3696                       -3.690612
                  10.396                      -3.6860796
                 10.4224                      -3.6848122
                 10.4488                      -3.6866379
                 10.4752                       -3.691364
                 10.5016                      -3.6987912
                  10.528                      -3.7087051
                 10.5544                      -3.7208733
                 10.5808                      -3.7350576
