        Frequency / GHz                S1,1 (W=37.2)/abs,dB
                  9.2872                      -3.1776739
               9.3135996                       -3.229586
               9.3400002                      -3.2765724
               9.3663998                      -3.3161311
               9.3928003                      -3.3466218
               9.4191999                      -3.3673332
               9.4455996                       -3.378452
               9.4720001                      -3.3809752
               9.4983997                      -3.3765332
               9.5248003                       -3.367182
               9.5511999                       -3.355177
               9.5775995                      -3.3427594
               9.6040001                      -3.3319672
               9.6303997                      -3.3244935
               9.6568003                      -3.3215824
               9.6831999                      -3.3239808
               9.7096004                      -3.3319163
               9.7360001                      -3.3451294
               9.7623997                      -3.3629238
               9.7888002                       -3.384251
               9.8151999                      -3.4078205
               9.8416004                       -3.432216
                   9.868                      -3.4560272
               9.8943996                      -3.4779792
               9.9208002                      -3.4970439
               9.9471998                      -3.5125336
               9.9736004                      -3.5241521
                      10                      -3.5320143
                 10.0264                       -3.536621
                 10.0528                         -3.5388
                 10.0792                      -3.5396148
                 10.1056                      -3.5402622
                  10.132                      -3.5419681
                 10.1584                      -3.5458769
                 10.1848                      -3.5529718
                 10.2112                       -3.564005
                 10.2376                       -3.579457
                  10.264                      -3.5995211
                 10.2904                      -3.6241083
                 10.3168                      -3.6528829
                 10.3432                      -3.6853057
                 10.3696                      -3.7207054
                  10.396                      -3.7583544
                 10.4224                       -3.797541
                 10.4488                      -3.8376549
                 10.4752                      -3.8782498
                 10.5016                      -3.9190998
                  10.528                      -3.9602239
                 10.5544                      -4.0018996
                 10.5808                      -4.0446442
                 10.6072                      -4.0891859
                 10.6336                         -4.1364
                   10.66                      -4.1872592
                 10.6864                      -4.2427613
                 10.7128                       -4.303871
                 10.7392                      -4.3714608
                 10.7656                      -4.4462678
                  10.792                      -4.5288658
                 10.8184                      -4.6196452
                 10.8448                      -4.7188161
                 10.8712                      -4.8264141
                 10.8976                      -4.9423259
                  10.924                      -5.0663221
                 10.9504                      -5.1980918
                 10.9768                      -5.3372892
                 11.0032                       -5.483574
                 11.0296                      -5.6366472
                  11.056                      -5.7962902
                 11.0824                      -5.9623768
                 11.1088                      -6.1348939
                 11.1352                      -6.3139349
                 11.1616                      -6.4996878
                  11.188                      -6.6924109
                 11.2144                      -6.8924005
                 11.2408                      -7.0999516
                 11.2672                      -7.3153193
                 11.2936                      -7.5386773
                   11.32                      -7.7700856
                 11.3464                      -8.0094577
                 11.3728                      -8.2565451
                 11.3992                      -8.5109245
                 11.4256                      -8.7719948
                  11.452                      -9.0389883
                 11.4784                      -9.3109848
                 11.5048                      -9.5869279
                 11.5312                      -9.8656455
                 11.5576                      -10.145866
                  11.584                      -10.426227
                 11.6104                      -10.705268
                 11.6368                      -10.981417
                 11.6632                       -11.25296
                 11.6896                      -11.517997
                  11.716                      -11.774401
                 11.7424                      -12.019774
                 11.7688                      -12.251434
                 11.7952                      -12.466417
                 11.8216                      -12.661539
                  11.848                      -12.833507
                 11.8744                      -12.979079
                 11.9008                      -13.095272
                 11.9272                      -13.179588
                 11.9536                      -13.230232
                   11.98                      -13.246268
                 12.0064                      -13.227711
                 12.0328                      -13.175513
                 12.0592                      -13.091464
                 12.0856                      -12.978023
                  12.112                      -12.838111
                 12.1384                      -12.674905
                 12.1648                       -12.49166
                 12.1912                      -12.291575
                 12.2176                      -12.077704
                  12.244                      -11.852915
                 12.2704                      -11.619878
                 12.2968                      -11.381083
                 12.3232                      -11.138852
                 12.3496                      -10.895369
                  12.376                      -10.652688
                 12.4024                      -10.412742
                 12.4288                      -10.177343
                 12.4552                      -9.9481719
                 12.4816                      -9.7267682
                  12.508                      -9.5145117
                 12.5344                       -9.312616
                 12.5608                      -9.1221153
                 12.5872                      -8.9438606
                 12.6136                       -8.778517
                   12.64                      -8.6265696
                 12.6664                      -8.4883296
                 12.6928                      -8.3639456
                 12.7192                      -8.2534158
                 12.7456                      -8.1566011
                  12.772                      -8.0732395
                 12.7984                      -8.0029564
                 12.8248                      -7.9452749
                 12.8512                        -7.89962
                 12.8776                       -7.865322
                  12.904                      -7.8416161
                 12.9304                      -7.8276352
                 12.9568                      -7.8224054
                 12.9832                       -7.824832
                 13.0096                      -7.8336989
                  13.036                      -7.8476576
                 13.0624                      -7.8652337
                 13.0888                      -7.8848324
                 13.1152                      -7.9047704
                 13.1416                      -7.9233034
                  13.168                      -7.9386865
                 13.1944                      -7.9492329
                 13.2208                      -7.9533989
                 13.2472                      -7.9498582
                 13.2736                      -7.9375805
                    13.3                      -7.9158981
                 13.3264                      -7.8845495
                 13.3528                      -7.8436933
                 13.3792                      -7.7938989
                 13.4056                      -7.7360973
                  13.432                      -7.6715189
                 13.4584                      -7.6015965
                 13.4848                      -7.5278828
                 13.5112                      -7.4519449
                 13.5376                      -7.3752841
                  13.564                      -7.2992609
                 13.5904                      -7.2250423
                 13.6168                      -7.1535615
                 13.6432                      -7.0855025
                 13.6696                      -7.0213005
                  13.696                      -6.9611496
                 13.7224                      -6.9050347
                 13.7488                      -6.8527622
                 13.7752                      -6.8040026
                 13.8016                      -6.7583308
                  13.828                      -6.7152769
                 13.8544                      -6.6743604
                 13.8808                      -6.6351298
                 13.9072                      -6.5971891
                 13.9336                      -6.5602159
                   13.96                      -6.5239736
