        Frequency - GHz                S1,1 (7)-abs,dB
               7.8148999                      -5.6471976
               7.8327999                      -5.7328906
               7.8506999                      -5.8209662
               7.8685999                      -5.9113799
               7.8864999                      -6.0040831
               7.9043999                      -6.0990218
               7.9222999                      -6.1961383
               7.9401999                      -6.2953702
               7.9580998                      -6.3966517
               7.9759998                      -6.4999111
               7.9938998                      -6.6050737
               8.0117998                      -6.7120607
               8.0297003                       -6.820788
               8.0475998                      -6.9311678
               8.0655003                      -7.0431087
               8.0833998                      -7.1565145
               8.1013002                      -7.2712872
               8.1191998                      -7.3873209
               8.1371002                      -7.5045095
               8.1549997                      -7.6227412
               8.1729002                      -7.7419032
               8.1907997                      -7.8618767
               8.2087002                       -7.982542
               8.2265997                      -8.1037753
               8.2445002                        -8.22545
               8.2623997                      -8.3474409
               8.2803001                       -8.469614
               8.2981997                      -8.5918416
               8.3161001                      -8.7139893
               8.3339996                       -8.835926
               8.3519001                      -8.9575185
               8.3697996                      -9.0786344
               8.3877001                      -9.1991439
               8.4055996                      -9.3189185
               8.4235001                      -9.4378325
               8.4413996                      -9.5557637
                  8.4593                      -9.6725946
               8.4771996                      -9.7882142
                  8.4951                      -9.9025166
               8.5129995                      -10.015404
                  8.5309                      -10.126786
               8.5488005                      -10.236582
                  8.5667                      -10.344724
               8.5846004                      -10.451151
                  8.6025                      -10.555819
               8.6204004                      -10.658695
               8.6382999                       -10.75976
               8.6562004                      -10.859011
               8.6740999                      -10.956459
               8.6920004                      -11.052133
               8.7098999                      -11.146078
               8.7278004                      -11.238355
               8.7456999                      -11.329044
               8.7636003                       -11.41824
               8.7814999                      -11.506055
               8.7994003                      -11.592621
               8.8172998                       -11.67808
               8.8352003                      -11.762597
               8.8530998                      -11.846346
               8.8710003                      -11.929516
               8.8888998                       -12.01231
               8.9068003                      -12.094941
               8.9246998                      -12.177632
               8.9426003                      -12.260617
               8.9604998                      -12.344134
               8.9784002                      -12.428429
               8.9962997                      -12.513748
               9.0142002                       -12.60034
               9.0320997                      -12.688456
               9.0500002                      -12.778339
               9.0678997                      -12.870232
               9.0858002                      -12.964364
               9.1036997                       -13.06096
               9.1216002                      -13.160224
               9.1394997                      -13.262346
               9.1574001                      -13.367493
               9.1752996                      -13.475806
               9.1932001                      -13.587393
               9.2110996                      -13.702326
               9.2290001                      -13.820632
               9.2468996                      -13.942287
               9.2648001                      -14.067201
               9.2826996                      -14.195223
               9.3006001                      -14.326112
