        Frequency - GHz                S1,1 (Y=5)-abs,dB
                 10.8758                      -6.5038397
                 10.8937                      -6.1983969
                 10.9116                      -5.9245569
                 10.9295                      -5.6789718
                 10.9474                      -5.4586004
                 10.9653                      -5.2606577
                 10.9832                      -5.0825808
                 11.0011                      -4.9220068
                  11.019                       -4.776756
                 11.0369                      -4.6448361
                 11.0548                      -4.5244362
                 11.0727                      -4.4139353
                 11.0906                      -4.3119082
                 11.1085                      -4.2171312
                 11.1264                       -4.128585
                 11.1443                      -4.0454581
                 11.1622                      -3.9671365
                 11.1801                      -3.8932002
                  11.198                       -3.823404
                 11.2159                      -3.7576571
                 11.2338                      -3.6959988
                 11.2517                       -3.638571
                 11.2696                      -3.5855868
                 11.2875                      -3.5372986
                 11.3054                      -3.4939752
                 11.3233                      -3.4558625
                 11.3412                      -3.4231704
                 11.3591                      -3.3960418
                  11.377                      -3.3745451
                 11.3949                      -3.3586525
                 11.4128                      -3.3482414
                 11.4307                      -3.3430871
                 11.4486                      -3.3428682
                 11.4665                      -3.3471739
                 11.4844                      -3.3555223
                 11.5023                      -3.3673715
                 11.5202                      -3.3821495
                 11.5381                       -3.399272
                  11.556                      -3.4181776
                 11.5739                      -3.4383539
                 11.5918                       -3.459362
                 11.6097                       -3.480867
                 11.6276                      -3.5026547
                 11.6455                      -3.5246456
                 11.6634                      -3.5469098
                 11.6813                      -3.5696556
                 11.6992                      -3.5932305
                 11.7171                      -3.6181017
                  11.735                      -3.6448341
                 11.7529                       -3.674064
                 11.7708                      -3.7064689
                 11.7887                      -3.7427343
                 11.8066                      -3.7835237
                 11.8245                      -3.8294418
                 11.8424                      -3.8810162
                 11.8603                      -3.9386636
                 11.8782                      -4.0026758
                 11.8961                      -4.0732029
                  11.914                       -4.150246
                 11.9319                       -4.233652
                 11.9498                      -4.3231238
                 11.9677                      -4.4182238
                 11.9856                      -4.5184039
                 12.0035                      -4.6230283
                 12.0214                      -4.7314048
                 12.0393                      -4.8428366
                 12.0572                      -4.9566617
                 12.0751                      -5.0723122
                  12.093                      -5.1893589
                 12.1109                      -5.3075656
                 12.1288                      -5.4269313
                 12.1467                       -5.547722
                 12.1646                      -5.6704922
                 12.1825                      -5.7960972
                 12.2004                      -5.9256817
                 12.2183                       -6.060661
                 12.2362                       -6.202693
                 12.2541                      -6.3536429
                  12.272                      -6.5155347
                 12.2899                      -6.6905155
                 12.3078                      -6.8808077
                 12.3257                      -7.0886748
                 12.3436                       -7.316387
                 12.3615                      -7.5661915
                 12.3794                       -7.840287
                 12.3973                      -8.1408027
                 12.4152                      -8.4697706
                 12.4331                      -8.8291066
                  12.451                      -9.2205687
                 12.4689                      -9.6457184
                 12.4868                      -10.105845
                 12.5047                       -10.60188
                 12.5226                      -11.134256
                 12.5405                      -11.702718
                 12.5584                      -12.306073
                 12.5763                      -12.941843
                 12.5942                      -13.605841
                 12.6121                      -14.291679
                   12.63                      -14.990265
                 12.6479                      -15.689436
                 12.6658                      -16.373989
                 12.6837                      -17.026414
                 12.7016                       -17.62865
                 12.7195                       -18.16485
                 12.7374                      -18.624597
                 12.7553                      -19.005453
                 12.7732                      -19.313686
                 12.7911                      -19.562773
                  12.809                      -19.770268
                 12.8269                      -19.954227
                 12.8448                      -20.130116
                 12.8627                      -20.308571
                 12.8806                      -20.493859
                 12.8985                      -20.682743
                 12.9164                      -20.863601
                 12.9343                      -21.016128
                 12.9522                      -21.112414
                 12.9701                      -21.120588
                  12.988                      -21.011564
                 13.0059                       -20.76739
                 13.0238                      -20.387425
                 13.0417                      -19.888677
                 13.0596                      -19.300157
                 13.0775                      -18.654851
                 13.0954                      -17.983153
                 13.1133                      -17.309477
                 13.1312                      -16.651541
                 13.1491                      -16.021143
                  13.167                      -15.425444
                 13.1849                      -14.868218
                 13.2028                      -14.350868
                 13.2207                      -13.873187
                 13.2386                       -13.43388
                 13.2565                       -13.03094
                 13.2744                       -12.66189
                 13.2923                      -12.323959
                 13.3102                      -12.014199
                 13.3281                      -11.729579
                  13.346                      -11.467057
                 13.3639                       -11.22365
                 13.3818                      -10.996496
                 13.3997                      -10.782916
                 13.4176                      -10.580475
                 13.4355                      -10.387032
                 13.4534                      -10.200789
                 13.4713                      -10.020324
                 13.4892                      -9.8446066
                 13.5071                      -9.6729947
                  13.525                      -9.5052174
                 13.5429                      -9.3413349
                 13.5608                        -9.18169
                 13.5787                      -9.0268414
                 13.5966                      -8.8775021
                 13.6145                      -8.7344721
                 13.6324                      -8.5985752
                 13.6503                      -8.4705995
                 13.6682                      -8.3512579
                 13.6861                      -8.2411407
                  13.704                      -8.1406958
                 13.7219                      -8.0502068
                 13.7398                      -7.9697821
                 13.7577                      -7.8993519
                 13.7756                      -7.8386754
                 13.7935                      -7.7873507
                 13.8114                      -7.7448318
                 13.8293                      -7.7104487
                 13.8472                      -7.6834334
                 13.8651                      -7.6629546
                  13.883                      -7.6481423
                 13.9009                      -7.6381341
                 13.9188                      -7.6321013
                 13.9367                      -7.6292878
                 13.9546                      -7.6290413
                 13.9725                      -7.6308394
                 13.9904                      -7.6343106
                 14.0083                       -7.639245
                 14.0262                      -7.6455981
                 14.0441                      -7.6534897
                  14.062                      -7.6631833
                 14.0799                      -7.6750694
                 14.0978                       -7.689639
                 14.1157                      -7.7074538
                 14.1336                       -7.729112
                 14.1515                      -7.7552152
                 14.1694                      -7.7863449
                 14.1873                      -7.8230291
