        Frequency - GHz                S1,1 (Lgnd=15.25)-abs,dB
               9.2648001                      -5.8143441
               9.2826996                      -5.7741697
               9.3006001                      -5.7346762
               9.3184996                      -5.6958549
                  9.3364                      -5.6576941
               9.3542995                      -5.6201855
                  9.3722                      -5.5833206
               9.3900995                      -5.5470899
                   9.408                      -5.5114889
               9.4259005                      -5.4765058
                  9.4438                      -5.4421368
               9.4617004                      -5.4083763
                  9.4796                      -5.3752163
               9.4975004                      -5.3426518
               9.5153999                      -5.3106779
               9.5333004                      -5.2792871
               9.5511999                      -5.2484758
               9.5691004                      -5.2182382
               9.5869999                      -5.1885696
               9.6049004                      -5.1594618
               9.6227999                      -5.1309101
               9.6407003                      -5.1029089
               9.6585999                      -5.0754487
               9.6765003                      -5.0485253
               9.6943998                      -5.0221273
               9.7123003                      -4.9962482
               9.7301998                      -4.9708779
               9.7481003                      -4.9460058
               9.7659998                      -4.9216206
               9.7839003                      -4.8977111
               9.8017998                       -4.874264
               9.8197002                       -4.851266
               9.8375998                      -4.8287032
               9.8555002                      -4.8065588
               9.8733997                      -4.7848187
               9.8913002                      -4.7634641
               9.9091997                      -4.7424794
               9.9271002                      -4.7218455
               9.9449997                      -4.7015444
               9.9629002                      -4.6815572
               9.9807997                      -4.6618645
               9.9987001                      -4.6424465
                 10.0166                       -4.623285
                 10.0345                      -4.6043592
                 10.0524                      -4.5856527
                 10.0703                      -4.5671436
                 10.0882                      -4.5488174
                 10.1061                      -4.5306552
                  10.124                      -4.5126425
                 10.1419                      -4.4947626
                 10.1598                      -4.4770043
                 10.1777                      -4.4593559
                 10.1956                      -4.4418057
                 10.2135                      -4.4243473
                 10.2314                      -4.4069744
                 10.2493                       -4.389685
                 10.2672                      -4.3724761
                 10.2851                      -4.3553502
                  10.303                      -4.3383128
                 10.3209                        -4.32137
                 10.3388                      -4.3045326
                 10.3567                      -4.2878145
                 10.3746                      -4.2712316
                 10.3925                      -4.2548035
                 10.4104                      -4.2385541
                 10.4283                       -4.222508
                 10.4462                      -4.2066966
                 10.4641                      -4.1911506
                  10.482                      -4.1759063
                 10.4999                      -4.1610021
                 10.5178                      -4.1464789
                 10.5357                      -4.1323811
                 10.5536                      -4.1187558
                 10.5715                      -4.1056525
                 10.5894                      -4.0931237
                 10.6073                      -4.0812206
                 10.6252                      -4.0700035
                 10.6431                      -4.0595264
                  10.661                      -4.0498496
                 10.6789                      -4.0410342
                 10.6968                      -4.0331424
                 10.7147                      -4.0262382
                 10.7326                      -4.0203829
                 10.7505                       -4.015643
                 10.7684                      -4.0120833
                 10.7863                      -4.0097667
                 10.8042                      -4.0087599
                 10.8221                      -4.0091275
                   10.84                      -4.0109346
                 10.8579                      -4.0142435
                 10.8758                      -4.0191176
                 10.8937                      -4.0256191
                 10.9116                      -4.0338086
                 10.9295                      -4.0437464
                 10.9474                      -4.0554904
                 10.9653                      -4.0690975
                 10.9832                      -4.0846224
                 11.0011                      -4.1021194
                  11.019                      -4.1216386
                 11.0369                       -4.143229
                 11.0548                      -4.1669397
                 11.0727                      -4.1928125
                 11.0906                      -4.2208933
                 11.1085                      -4.2512182
                 11.1264                      -4.2838275
                 11.1443                      -4.3187526
                 11.1622                      -4.3560285
                 11.1801                      -4.3956819
                  11.198                      -4.4377394
                 11.2159                      -4.4822228
                 11.2338                      -4.5291514
                 11.2517                        -4.57854
                 11.2696                      -4.6304029
                 11.2875                      -4.6847472
                 11.3054                      -4.7415784
                 11.3233                      -4.8008986
                 11.3412                       -4.862701
                 11.3591                      -4.9269825
                  11.377                      -4.9937273
                 11.3949                      -5.0629232
                 11.4128                       -5.134547
                 11.4307                      -5.2085704
                 11.4486                      -5.2849657
                 11.4665                      -5.3636948
                 11.4844                      -5.4447142
                 11.5023                      -5.5279786
                 11.5202                      -5.6134326
                 11.5381                       -5.701016
                  11.556                      -5.7906624
                 11.5739                      -5.8822985
                 11.5918                      -5.9758426
                 11.6097                      -6.0712088
                 11.6276                      -6.1683023
                 11.6455                      -6.2670196
                 11.6634                      -6.3672502
                 11.6813                      -6.4688771
                 11.6992                      -6.5717734
                 11.7171                      -6.6758042
                  11.735                      -6.7808265
                 11.7529                      -6.8866896
                 11.7708                      -6.9932345
                 11.7887                      -7.1002934
                 11.8066                      -7.2076902
                 11.8245                       -7.315243
                 11.8424                        -7.42276
